"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月05日11時22分01秒","2013年02月05日11時22分11秒","1","0","0"
"ファイル操作","2013年02月05日11時22分11秒","2013年02月05日11時22分12秒","0","0","0"
"ファイル操作","2013年02月05日11時22分12秒","2013年02月05日11時22分13秒","0","0","0"
"ファイル操作","2013年02月05日11時22分13秒","2013年02月05日11時22分24秒","5","0","0"
"登録外","2013年02月05日11時22分24秒","2013年02月05日11時22分26秒","0","0","2"
"ファイル操作","2013年02月05日11時22分26秒","2013年02月05日11時22分27秒","1","0","0"
"登録外","2013年02月05日11時22分27秒","2013年02月05日11時22分30秒","1","0","0"
"ファイル操作","2013年02月05日11時22分30秒","2013年02月05日11時22分31秒","1","0","0"
"エクセル","2013年02月05日11時22分31秒","2013年02月05日11時22分33秒","1","0","0"
"メール","2013年02月05日11時22分36秒","2013年02月05日11時22分47秒","3","0","0"
"メール","2013年02月05日11時22分47秒","2013年02月05日11時22分49秒","1","0","5"
"ファイル操作","2013年02月05日11時22分49秒","2013年02月05日11時22分52秒","1","0","1"
"エクセル","2013年02月05日11時22分52秒","2013年02月05日11時22分59秒","5","0","3"
"ワード・パワポ","2013年02月05日11時22分59秒","2013年02月05日11時23分25秒","9","3","0"
"メール","2013年02月05日11時23分31秒","2013年02月05日11時23分32秒","0","0","0"
"メール","2013年02月05日11時23分32秒","2013年02月05日11時23分35秒","1","0","0"
"メール","2013年02月05日11時23分35秒","2013年02月05日11時23分38秒","2","1","0"
"メール","2013年02月05日11時23分38秒","2013年02月05日11時25分00秒","17","0","16"
"メール","2013年02月05日11時25分00秒","2013年02月05日11時28分41秒","8","0","326"
"メール","2013年02月05日11時28分41秒","2013年02月05日11時28分42秒","1","0","0"
"メール","2013年02月05日11時28分42秒","2013年02月05日11時28分45秒","0","0","0"
"メール","2013年02月05日11時28分45秒","2013年02月05日11時28分47秒","1","0","0"
"メール","2013年02月05日11時28分47秒","2013年02月05日11時28分49秒","1","0","0"
"メール","2013年02月05日11時28分49秒","2013年02月05日11時28分54秒","2","0","2"
"ワード・パワポ","2013年02月05日11時28分54秒","2013年02月05日11時29分06秒","2","0","0"
"エクセル","2013年02月05日11時29分06秒","2013年02月05日11時29分17秒","5","1","0"
"エクセル","2013年02月05日11時29分17秒","2013年02月05日11時29分36秒","2","0","0"
"エクセル","2013年02月05日11時29分36秒","2013年02月05日11時30分00秒","2","0","41"
"エクセル","2013年02月05日11時30分00秒","2013年02月05日11時30分23秒","10","0","6"
"エクセル","2013年02月05日11時30分23秒","2013年02月05日11時30分25秒","1","0","0"
"エクセル","2013年02月05日11時30分25秒","2013年02月05日11時30分52秒","7","0","0"
"エクセル","2013年02月05日11時30分52秒","2013年02月05日11時30分59秒","8","0","0"
"エクセル","2013年02月05日11時30分59秒","2013年02月05日11時31分14秒","8","1","0"
"エクセル","2013年02月05日11時31分14秒","2013年02月05日11時31分22秒","2","0","3"
"エクセル","2013年02月05日11時31分22秒","2013年02月05日11時31分23秒","0","0","0"
"エクセル","2013年02月05日11時31分23秒","2013年02月05日11時31分24秒","1","0","0"
"エクセル","2013年02月05日11時31分24秒","2013年02月05日11時31分25秒","0","0","1"
"エクセル","2013年02月05日11時31分25秒","2013年02月05日11時31分27秒","0","0","1"
"エクセル","2013年02月05日11時31分27秒","2013年02月05日11時31分48秒","9","0","2"
"ワード・パワポ","2013年02月05日11時31分48秒","2013年02月05日11時31分56秒","0","0","2"
"エクセル","2013年02月05日11時31分56秒","2013年02月05日11時32分03秒","0","0","4"
"ワード・パワポ","2013年02月05日11時32分03秒","2013年02月05日11時32分08秒","0","0","2"
"エクセル","2013年02月05日11時32分08秒","2013年02月05日11時32分56秒","16","0","8"
"エクセル","2013年02月05日11時32分56秒","2013年02月05日11時32分59秒","2","0","0"
"エクセル","2013年02月05日11時32分59秒","2013年02月05日11時33分47秒","33","0","4"
"ワード・パワポ","2013年02月05日11時33分47秒","2013年02月05日11時33分48秒","0","0","2"
"エクセル","2013年02月05日11時33分48秒","2013年02月05日11時33分50秒","2","0","0"
"エクセル","2013年02月05日11時33分50秒","2013年02月05日11時33分52秒","2","0","0"
"エクセル","2013年02月05日11時33分52秒","2013年02月05日11時33分54秒","1","0","2"
"ワード・パワポ","2013年02月05日11時33分54秒","2013年02月05日11時33分56秒","0","0","2"
"エクセル","2013年02月05日11時33分56秒","2013年02月05日11時34分33秒","30","0","0"
"エクセル","2013年02月05日11時34分33秒","2013年02月05日11時34分35秒","2","0","0"
"エクセル","2013年02月05日11時34分35秒","2013年02月05日11時34分52秒","11","0","2"
"ワード・パワポ","2013年02月05日11時34分52秒","2013年02月05日11時34分53秒","0","0","2"
"エクセル","2013年02月05日11時34分53秒","2013年02月05日11時34分58秒","1","0","1"
"ファイル操作","2013年02月05日11時34分58秒","2013年02月05日11時34分59秒","1","0","0"
"ファイル操作","2013年02月05日11時34分59秒","2013年02月05日11時35分00秒","0","0","0"
"ファイル操作","2013年02月05日11時35分00秒","2013年02月05日11時35分01秒","0","0","2"
"登録外","2013年02月05日11時35分01秒","2013年02月05日11時35分10秒","3","0","3"
"エクセル","2013年02月05日11時35分10秒","2013年02月05日11時35分12秒","1","0","0"
"ワード・パワポ","2013年02月05日11時35分12秒","2013年02月05日11時35分14秒","0","0","2"
"エクセル","2013年02月05日11時35分14秒","2013年02月05日11時35分19秒","1","0","1"
"登録外","2013年02月05日11時35分19秒","2013年02月05日11時35分27秒","2","0","3"
"ワード・パワポ","2013年02月05日11時35分27秒","2013年02月05日11時35分29秒","2","0","0"
"ワード・パワポ","2013年02月05日11時35分29秒","2013年02月05日11時35分31秒","2","0","0"
"ワード・パワポ","2013年02月05日11時35分31秒","2013年02月05日11時35分34秒","1","1","0"
"ワード・パワポ","2013年02月05日11時35分34秒","2013年02月05日11時35分37秒","4","0","0"
"ワード・パワポ","2013年02月05日11時35分37秒","2013年02月05日11時36分25秒","17","0","17"
