"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日11時25分","0","102","18","0","0","9","25","0","0","0","14"
"2013年02月05日11時30分","0","233","0","0","0","53","12","0","0","0","0"
"2013年02月05日11時35分","0","0","2","0","0","277","17","0","0","0","0"
"2013年02月05日11時40分","0","0","33","0","0","7","103","0","132","0","18"
"2013年02月05日11時45分","0","0","4","0","0","0","152","0","140","0","0"
"2013年02月05日11時50分","0","0","1","0","0","7","247","0","41","0","0"
"2013年02月05日11時55分","42","0","0","0","0","14","232","0","4","0","0"
"2013年02月05日12時00分","30","163","30","0","0","73","0","0","0","0","0"
"2013年02月05日12時05分","0","17","208","0","0","0","0","0","0","0","30"
"2013年02月05日12時10分","0","260","4","0","0","0","33","0","0","0","0"
"2013年02月05日12時15分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","80","214","1","0","0","0","1","0","0","0","0"
"2013年02月05日12時25分","183","93","3","0","0","0","0","0","0","0","0"
"2013年02月05日12時30分","9","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","1","193","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","180","1","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時45分","8","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","138","10","82","0","0","0","0","0","0","0","2"
"2013年02月05日13時45分","37","100","158","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","35","189","73","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","290","0","0","0","0","0","0","0","5"
"2013年02月05日14時00分","0","23","272","0","0","0","0","0","0","0","0"
"2013年02月05日14時05分","0","1","205","11","0","0","0","0","19","0","49"
"2013年02月05日14時10分","0","0","11","0","0","45","0","0","236","0","6"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","300","0","0"
