"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時25分","29","51","4"
"2013年02月05日11時30分","369","24","1"
"2013年02月05日11時35分","44","147","1"
"2013年02月05日11時40分","184","91","2"
"2013年02月05日11時45分","548","81","0"
"2013年02月05日11時50分","179","89","1"
"2013年02月05日11時55分","307","41","1"
"2013年02月05日12時00分","46","41","1"
"2013年02月05日12時05分","43","35","3"
"2013年02月05日12時10分","390","49","1"
"2013年02月05日12時15分","466","2","0"
"2013年02月05日12時20分","137","57","1"
"2013年02月05日12時25分","2","8","0"
"2013年02月05日12時30分","0","0","0"
"2013年02月05日12時35分","1","2","0"
"2013年02月05日12時40分","0","3","0"
"2013年02月05日12時45分","0","0","0"
"2013年02月05日12時50分","0","0","0"
"2013年02月05日12時55分","0","0","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","0","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","0","0","0"
"2013年02月05日13時25分","0","0","0"
"2013年02月05日13時30分","0","0","0"
"2013年02月05日13時35分","0","0","0"
"2013年02月05日13時40分","6","19","0"
"2013年02月05日13時45分","87","34","1"
"2013年02月05日13時50分","476","59","2"
"2013年02月05日13時55分","74","145","2"
"2013年02月05日14時00分","18","135","0"
"2013年02月05日14時05分","9","68","2"
"2013年02月05日14時10分","18","57","3"
"2013年02月05日14時15分","17","110","6"
"2013年02月05日14時20分","12","92","4"
"2013年02月05日14時25分","43","55","2"
"2013年02月05日14時30分","36","79","1"
"2013年02月05日14時35分","474","0","0"
"2013年02月05日14時40分","471","0","0"
"2013年02月05日14時45分","422","0","0"
"2013年02月05日14時50分","22","0","0"
"2013年02月05日14時55分","1","0","0"
"2013年02月05日15時00分","27","0","0"
"2013年02月05日15時05分","360","0","0"
"2013年02月05日15時10分","127","0","0"
"2013年02月05日15時15分","80","0","0"
"2013年02月05日15時20分","10","0","0"
"2013年02月05日15時25分","54","0","0"
"2013年02月05日15時30分","237","0","0"
"2013年02月05日15時35分","355","0","0"
"2013年02月05日15時40分","410","0","0"
"2013年02月05日15時45分","344","0","0"
"2013年02月05日15時50分","130","0","0"
"2013年02月05日15時55分","475","0","0"
"2013年02月05日16時00分","474","0","0"
"2013年02月05日16時05分","352","0","0"
"2013年02月05日16時10分","450","0","0"
"2013年02月05日16時15分","451","0","0"
"2013年02月05日16時20分","5","0","0"
"2013年02月05日16時25分","2","0","0"
"2013年02月05日16時30分","305","0","0"
"2013年02月05日16時35分","0","0","0"
"2013年02月05日16時40分","2","0","0"
"2013年02月05日16時45分","0","0","0"
"2013年02月05日16時50分","14","0","0"
"2013年02月05日16時55分","0","0","0"
"2013年02月05日17時00分","5","0","0"
"2013年02月05日17時05分","157","0","0"
"2013年02月05日17時10分","785","0","0"
"2013年02月05日17時15分","286","0","0"
"2013年02月05日17時20分","420","0","0"
"2013年02月05日17時25分","0","0","0"
"2013年02月05日17時30分","150","0","0"
"2013年02月05日17時35分","329","0","0"
"2013年02月05日17時40分","666","0","0"
"2013年02月05日17時45分","719","0","0"
"2013年02月05日17時50分","277","0","0"
"2013年02月05日17時55分","430","0","0"
"2013年02月05日18時00分","422","0","0"
"2013年02月05日18時05分","194","0","0"
"2013年02月05日18時10分","540","0","0"
"2013年02月05日18時15分","559","0","0"
"2013年02月05日18時20分","190","0","0"
"2013年02月05日18時25分","512","0","0"
"2013年02月05日18時30分","637","0","0"
"2013年02月05日18時35分","68","0","0"
