Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130206:091228,20130206:091231,2,0,0
FileOperation,20130206:091231,20130206:091235,0,0,0
Email,20130206:091235,20130206:091242,1,0,0
Browser,20130206:091245,20130206:091248,0,0,0
Browser,20130206:091248,20130206:091305,2,0,0
Browser,20130206:091305,20130206:091314,1,0,0
Browser,20130206:091314,20130206:091315,0,0,0
Browser,20130206:091315,20130206:091335,1,0,28
Browser,20130206:091335,20130206:091339,0,0,0
Browser,20130206:091339,20130206:091353,2,0,0
Browser,20130206:091353,20130206:091404,1,0,0
FileOperation,20130206:091404,20130206:091409,1,0,0
Browser,20130206:091409,20130206:091413,1,0,0
Browser,20130206:091413,20130206:091420,1,0,0
Browser,20130206:091420,20130206:091423,1,0,0
Browser,20130206:091423,20130206:091500,8,0,42
Browser,20130206:091500,20130206:091613,13,0,117
Browser,20130206:091613,20130206:091631,2,0,0
Browser,20130206:091631,20130206:091640,1,0,0
Browser,20130206:091640,20130206:091643,1,0,0
Browser,20130206:091643,20130206:091715,2,0,0
FileOperation,20130206:091715,20130206:091718,1,0,0
Browser,20130206:091718,20130206:091741,1,0,0
Browser,20130206:091741,20130206:091807,12,0,41
Browser,20130206:091807,20130206:091812,1,0,0
Browser,20130206:091812,20130206:091821,9,0,0
Browser,20130206:091821,20130206:092000,5,0,0
Browser,20130206:092000,20130206:092109,1,0,0
Email,20130206:092109,20130206:092111,1,0,0
Email,20130206:092111,20130206:092115,3,0,0
Browser,20130206:092115,20130206:092126,1,0,0
Email,20130206:092126,20130206:092128,1,0,0
Browser,20130206:092128,20130206:092134,1,0,0
Email,20130206:092134,20130206:092135,1,0,0
FileOperation,20130206:092135,20130206:092137,2,0,0
FileOperation,20130206:092137,20130206:092140,1,0,0
FileOperation,20130206:092140,20130206:092144,2,0,0
FileOperation,20130206:092144,20130206:092151,1,0,0
FileOperation,20130206:092151,20130206:092152,1,0,0
FileOperation,20130206:092152,20130206:092155,0,0,3
FileOperation,20130206:092155,20130206:092156,0,0,0
FileOperation,20130206:092156,20130206:092157,0,0,1
FileOperation,20130206:092157,20130206:092158,0,0,0
FileOperation,20130206:092158,20130206:092200,1,0,0
FileOperation,20130206:092200,20130206:092203,0,0,2
FileOperation,20130206:092203,20130206:092207,0,0,10
FileOperation,20130206:092207,20130206:092208,0,0,2
FileOperation,20130206:092208,20130206:092209,0,0,3
FileOperation,20130206:092209,20130206:092210,0,0,4
FileOperation,20130206:092210,20130206:092224,0,0,15
Other,20130206:092224,20130206:092226,1,0,0
Other,20130206:092226,20130206:092451,16,0,0
Email,20130206:092451,20130206:092459,2,0,0
FileOperation,20130206:092459,20130206:092501,0,0,0
FileOperation,20130206:092501,20130206:092504,1,0,0
Email,20130206:092504,20130206:092507,1,0,0
Browser,20130206:092507,20130206:092510,2,1,0
Browser,20130206:092510,20130206:092517,1,0,0
Browser,20130206:092517,20130206:092521,1,0,0
Email,20130206:092521,20130206:092526,1,0,0
FileOperation,20130206:092526,20130206:092528,1,0,0
FileOperation,20130206:092528,20130206:092530,2,0,0
FileOperation,20130206:092530,20130206:092531,2,0,0
FileOperation,20130206:092531,20130206:092535,1,0,0
FileOperation,20130206:092535,20130206:092539,1,0,0
Other,20130206:092539,20130206:092540,1,0,0
FileOperation,20130206:092540,20130206:092542,1,0,0
Other,20130206:092542,20130206:092543,0,0,0
Other,20130206:092543,20130206:092550,1,0,0
FileOperation,20130206:092550,20130206:092554,1,0,0
Other,20130206:092554,20130206:092557,1,0,0
FileOperation,20130206:092557,20130206:092610,2,0,0
FileOperation,20130206:092610,20130206:092615,1,0,0
Email,20130206:092615,20130206:092617,1,0,0
Email,20130206:092617,20130206:092619,1,0,0
Email,20130206:092619,20130206:092621,1,0,0
FileOperation,20130206:092621,20130206:092639,2,0,0
Email,20130206:092639,20130206:092655,2,0,0
Other,20130206:092655,20130206:092701,1,0,0
Browser,20130206:092701,20130206:092704,1,1,0
Browser,20130206:092704,20130206:092706,1,0,0
Browser,20130206:092706,20130206:092707,1,0,0
Email,20130206:092707,20130206:092709,1,0,0
Email,20130206:092709,20130206:092713,2,0,0
Browser,20130206:092713,20130206:092715,1,0,0
Browser,20130206:092715,20130206:092721,0,0,19
Browser,20130206:092721,20130206:092722,0,0,1
Browser,20130206:092722,20130206:092728,1,0,0
Email,20130206:092728,20130206:092745,1,0,0
FileOperation,20130206:092745,20130206:092746,0,0,0
Other,20130206:092746,20130206:092752,1,0,0
FileOperation,20130206:092752,20130206:092810,1,0,0
Email,20130206:092810,20130206:092814,1,0,0
FileOperation,20130206:092814,20130206:092817,0,1,0
FileOperation,20130206:092817,20130206:092819,1,0,0
FileOperation,20130206:092819,20130206:092834,3,0,0
Email,20130206:092834,20130206:092835,1,0,0
Email,20130206:092835,20130206:092838,1,0,2
Email,20130206:092838,20130206:092839,0,0,2
Email,20130206:092839,20130206:092840,0,0,3
Email,20130206:092840,20130206:092841,0,0,5
Email,20130206:092841,20130206:092842,0,0,4
Email,20130206:092842,20130206:093001,0,0,229
Email,20130206:093001,20130206:093037,3,0,47
Email,20130206:093037,20130206:093040,0,0,0
Email,20130206:093040,20130206:093044,1,0,0
Browser,20130206:093044,20130206:093108,2,0,0
Email,20130206:093108,20130206:093112,1,0,0
Email,20130206:093112,20130206:093114,1,0,0
Email,20130206:093114,20130206:093115,2,0,0
Email,20130206:093115,20130206:093116,0,0,0
Email,20130206:093116,20130206:093122,1,0,0
Email,20130206:093122,20130206:093126,1,0,0
Email,20130206:093126,20130206:093137,4,1,0
Email,20130206:093137,20130206:093138,1,0,0
Excel,20130206:093138,20130206:093139,0,0,0
Excel,20130206:093139,20130206:093501,10,0,3
Excel,20130206:093501,20130206:093614,17,0,0
Email,20130206:093614,20130206:093617,1,0,0
Excel,20130206:093617,20130206:093800,7,0,0
Email,20130206:093800,20130206:094002,1,0,0
Email,20130206:094002,20130206:094111,0,0,0
Email,20130206:094646,20130206:094647,1,0,0
Excel,20130206:094647,20130206:094648,1,0,0
Email,20130206:094648,20130206:094651,1,0,0
FileOperation,20130206:094651,20130206:094731,2,0,0
Email,20130206:094731,20130206:094734,1,0,0
Browser,20130206:094734,20130206:094742,2,1,0
FileOperation,20130206:094742,20130206:094755,2,0,0
FileOperation,20130206:094755,20130206:094820,1,0,0
Email,20130206:094820,20130206:094826,1,0,0
FileOperation,20130206:094826,20130206:094836,4,0,0
FileOperation,20130206:094836,20130206:094842,2,0,0
Other,20130206:094842,20130206:094843,1,0,0
Other,20130206:094843,20130206:094848,1,0,0
FileOperation,20130206:094848,20130206:094905,3,0,0
Email,20130206:094905,20130206:094908,1,0,0
Email,20130206:094908,20130206:094930,2,0,0
Email,20130206:094930,20130206:095002,1,0,0
Email,20130206:095002,20130206:095003,1,0,0
FileOperation,20130206:095003,20130206:095008,1,0,0
FileOperation,20130206:095008,20130206:095010,2,0,0
FileOperation,20130206:095010,20130206:095012,2,0,0
FileOperation,20130206:095012,20130206:095150,3,0,0
FileOperation,20130206:095150,20130206:095152,1,0,0
FileOperation,20130206:095152,20130206:095153,2,0,0
FileOperation,20130206:095153,20130206:095154,2,0,0
FileOperation,20130206:095154,20130206:095156,2,0,0
FileOperation,20130206:095156,20130206:095234,3,0,0
FileOperation,20130206:095234,20130206:095236,1,0,0
FileOperation,20130206:095236,20130206:095318,3,0,0
FileOperation,20130206:095318,20130206:095321,2,0,0
FileOperation,20130206:095321,20130206:095326,2,0,0
FileOperation,20130206:095326,20130206:095329,1,0,0
Email,20130206:095329,20130206:095336,1,0,0
Email,20130206:095336,20130206:095343,1,0,0
Excel,20130206:095343,20130206:095440,3,0,0
Email,20130206:095440,20130206:095450,1,0,0
FileOperation,20130206:095450,20130206:095452,1,0,0
FileOperation,20130206:095452,20130206:095454,2,0,0
FileOperation,20130206:095454,20130206:095457,2,0,0
FileOperation,20130206:095457,20130206:095459,1,0,0
FileOperation,20130206:095459,20130206:095502,0,0,0
FileOperation,20130206:095502,20130206:095506,1,0,0
Excel,20130206:095506,20130206:095507,1,0,0
Excel,20130206:095507,20130206:095509,1,0,1
FileOperation,20130206:095509,20130206:095510,0,0,4
Excel,20130206:095510,20130206:095511,0,0,2
FileOperation,20130206:095511,20130206:095513,0,0,3
FileOperation,20130206:095513,20130206:095515,0,0,2
FileOperation,20130206:095515,20130206:095516,0,0,1
Email,20130206:095516,20130206:095521,2,0,0
Email,20130206:095521,20130206:095525,3,1,0
Email,20130206:095525,20130206:095526,1,0,0
Email,20130206:095526,20130206:095527,0,0,1
FileOperation,20130206:095527,20130206:095528,0,0,1
FileOperation,20130206:095528,20130206:095529,0,0,1
FileOperation,20130206:095529,20130206:095531,0,0,3
FileOperation,20130206:095531,20130206:095533,1,0,0
FileOperation,20130206:095533,20130206:095536,1,0,0
FileOperation,20130206:095536,20130206:095558,4,0,0
FileOperation,20130206:095558,20130206:095559,1,0,0
FileOperation,20130206:095559,20130206:095601,2,0,0
FileOperation,20130206:095601,20130206:095604,2,0,0
FileOperation,20130206:095604,20130206:095605,1,0,0
FileOperation,20130206:095605,20130206:095606,2,0,0
FileOperation,20130206:095606,20130206:095610,1,0,0
FileOperation,20130206:095610,20130206:095613,2,0,0
FileOperation,20130206:095613,20130206:095622,1,0,0
FileOperation,20130206:095622,20130206:095624,1,0,0
FileOperation,20130206:095624,20130206:095626,1,0,0
FileOperation,20130206:095626,20130206:095627,1,0,0
FileOperation,20130206:095627,20130206:095630,1,0,0
FileOperation,20130206:095630,20130206:095642,2,0,0
FileOperation,20130206:095642,20130206:095700,2,0,0
FileOperation,20130206:095700,20130206:095742,2,0,0
Email,20130206:095742,20130206:095744,1,0,0
FileOperation,20130206:095744,20130206:095745,0,0,0
Browser,20130206:095745,20130206:095754,1,0,0
FileOperation,20130206:095754,20130206:095755,0,0,0
Email,20130206:095755,20130206:095815,3,0,0
FileOperation,20130206:095815,20130206:095830,2,0,0
Browser,20130206:095830,20130206:095853,1,0,0
Browser,20130206:095853,20130206:095920,15,0,0
Browser,20130206:095920,20130206:095929,2,0,0
Browser,20130206:095929,20130206:095935,5,0,0
Browser,20130206:095935,20130206:095946,3,0,0
Browser,20130206:095946,20130206:100002,0,0,0
Browser,20130206:100002,20130206:100015,5,0,0
Browser,20130206:100015,20130206:100025,2,0,0
Browser,20130206:100025,20130206:100032,3,0,0
Browser,20130206:100032,20130206:100151,3,0,0
Browser,20130206:100151,20130206:100154,2,0,0
Browser,20130206:100154,20130206:100355,3,0,0
Email,20130206:100355,20130206:100400,1,0,0
FileOperation,20130206:100400,20130206:100405,4,0,0
Other,20130206:100405,20130206:100407,1,0,0
Other,20130206:100407,20130206:100411,2,0,0
FileOperation,20130206:100411,20130206:100413,1,0,0
FileOperation,20130206:100413,20130206:100416,3,0,0
FileOperation,20130206:100416,20130206:100417,2,0,0
FileOperation,20130206:100417,20130206:100420,2,0,0
FileOperation,20130206:100420,20130206:100422,3,0,0
FileOperation,20130206:100422,20130206:100424,2,0,0
Other,20130206:100424,20130206:100425,0,0,0
Other,20130206:100425,20130206:100426,1,0,0
Other,20130206:100426,20130206:100502,3,0,0
Other,20130206:100502,20130206:100505,1,0,0
Email,20130206:100505,20130206:100508,4,0,0
FileOperation,20130206:100508,20130206:100511,1,0,0
FileOperation,20130206:100511,20130206:100513,2,0,0
FileOperation,20130206:100513,20130206:100517,1,0,0
Other,20130206:100517,20130206:100520,1,0,0
FileOperation,20130206:100520,20130206:100522,1,0,0
Email,20130206:100522,20130206:100531,1,0,0
FileOperation,20130206:100531,20130206:100608,3,0,0
Email,20130206:100608,20130206:100611,1,0,0
Browser,20130206:100611,20130206:100612,1,0,0
Browser,20130206:100612,20130206:100819,3,0,0
Browser,20130206:100819,20130206:100824,1,0,0
Browser,20130206:100824,20130206:100829,2,0,0
Document,20130206:100829,20130206:100852,1,0,0
Browser,20130206:100852,20130206:100855,1,0,0
Browser,20130206:100855,20130206:100901,1,0,0
Browser,20130206:100901,20130206:100912,1,0,0
Browser,20130206:100912,20130206:100917,1,0,0
Browser,20130206:100917,20130206:100920,1,0,0
Email,20130206:100920,20130206:100922,1,0,0
Email,20130206:100922,20130206:101002,1,0,0
Email,20130206:101002,20130206:101040,1,0,0
Browser,20130206:101040,20130206:101044,1,0,0
Email,20130206:101044,20130206:101045,1,0,0
Browser,20130206:101045,20130206:101050,1,0,0
FileOperation,20130206:101050,20130206:101051,0,0,0
FileOperation,20130206:101051,20130206:101102,10,0,0
Other,20130206:101102,20130206:101113,5,0,0
FileOperation,20130206:101113,20130206:101124,2,0,0
FileOperation,20130206:101124,20130206:101126,2,0,0
Other,20130206:101126,20130206:101127,1,0,0
Other,20130206:101127,20130206:101139,4,0,0
FileOperation,20130206:101139,20130206:101141,2,0,0
Other,20130206:101141,20130206:101142,1,0,0
Other,20130206:101142,20130206:101154,2,0,0
FileOperation,20130206:101154,20130206:101156,2,0,0
Other,20130206:101156,20130206:101157,1,0,0
Other,20130206:101157,20130206:101207,3,0,0
FileOperation,20130206:101207,20130206:101208,2,0,0
Other,20130206:101208,20130206:101209,0,0,0
Other,20130206:101209,20130206:101210,1,0,0
Other,20130206:101210,20130206:101213,1,0,0
FileOperation,20130206:101213,20130206:101215,2,0,0
Other,20130206:101215,20130206:101216,1,0,0
Other,20130206:101216,20130206:101220,2,0,0
FileOperation,20130206:101220,20130206:101234,5,0,7
Other,20130206:101234,20130206:101236,1,0,0
Other,20130206:101236,20130206:101503,21,0,0
Other,20130206:101503,20130206:101526,1,0,0
FileOperation,20130206:101526,20130206:101548,1,0,0
FileOperation,20130206:101548,20130206:101551,1,0,0
FileOperation,20130206:101551,20130206:101552,1,0,0
FileOperation,20130206:101552,20130206:101554,1,0,0
FileOperation,20130206:101554,20130206:101556,1,0,0
Database,20130206:101556,20130206:101559,0,0,0
Database,20130206:101559,20130206:101600,0,0,0
Database,20130206:101600,20130206:101606,3,0,8
Database,20130206:101606,20130206:101937,27,0,186
Other,20130206:101937,20130206:102003,14,0,0
Other,20130206:102003,20130206:102138,7,0,0
Database,20130206:102138,20130206:102141,1,0,0
Other,20130206:102141,20130206:102145,1,0,0
Database,20130206:102145,20130206:102314,7,0,62
FileOperation,20130206:102314,20130206:102319,1,0,0
FileOperation,20130206:102319,20130206:102326,1,0,0
FileOperation,20130206:102326,20130206:102327,1,0,0
FileOperation,20130206:102327,20130206:102329,1,0,0
FileOperation,20130206:102329,20130206:102331,2,0,0
FileOperation,20130206:102331,20130206:102333,3,0,0
FileOperation,20130206:102333,20130206:102338,2,0,0
Programming&Debug,20130206:102338,20130206:102342,0,0,0
Programming&Debug,20130206:102342,20130206:102344,1,0,0
Programming&Debug,20130206:102344,20130206:102401,0,0,0
Programming&Debug,20130206:102401,20130206:102503,9,0,1
Programming&Debug,20130206:102503,20130206:102512,5,0,0
Programming&Debug,20130206:102512,20130206:102513,0,0,0
Programming&Debug,20130206:102513,20130206:102543,6,0,2
Database,20130206:102543,20130206:102605,2,0,22
Programming&Debug,20130206:102605,20130206:102617,6,0,4
Database,20130206:102617,20130206:102626,2,0,22
Programming&Debug,20130206:102626,20130206:102637,5,0,4
Database,20130206:102637,20130206:102646,2,0,22
Programming&Debug,20130206:102646,20130206:102700,2,0,2
Database,20130206:102700,20130206:102703,0,0,2
Programming&Debug,20130206:102703,20130206:102725,1,0,2
Database,20130206:102725,20130206:102732,2,0,3
Programming&Debug,20130206:102732,20130206:102809,7,0,4
