Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130205:113223,20130205:113224,0,0,0
Testing,20130205:113224,20130205:113225,0,0,0
Testing,20130205:113225,20130205:113500,0,0,2
Testing,20130205:113500,20130205:114000,0,0,98
Testing,20130205:114000,20130205:114501,0,0,75
Testing,20130205:114501,20130205:114602,0,0,0
Testing,20130205:115311,20130205:115501,0,0,34
Testing,20130205:115501,20130205:115829,0,0,6
Testing,20130205:120328,20130205:120501,0,0,16
Testing,20130205:120501,20130205:121001,0,0,89
Testing,20130205:121001,20130205:121502,0,0,33
Testing,20130205:121502,20130205:121826,0,0,1
Testing,20130205:121829,20130205:122002,0,0,5
Testing,20130205:122002,20130205:122502,0,0,39
Testing,20130205:122502,20130205:123002,0,0,23
Testing,20130205:123002,20130205:123502,0,0,81
Testing,20130205:123502,20130205:124002,0,0,27
Testing,20130205:124002,20130205:124253,0,0,5
Testing,20130205:124253,20130205:124256,0,0,0
Browser,20130205:124256,20130205:124300,0,0,0
Browser,20130205:124300,20130205:124302,0,0,0
Browser,20130205:124302,20130205:124305,0,0,0
Browser,20130205:124305,20130205:124309,0,0,0
Browser,20130205:124309,20130205:124320,0,0,4
Testing,20130205:124522,20130205:124621,0,0,0
Browser,20130205:130406,20130205:130420,0,0,16
Browser,20130205:130420,20130205:130422,0,0,0
Browser,20130205:130422,20130205:130428,0,0,0
Browser,20130205:130428,20130205:130429,0,0,0
Testing,20130205:130429,20130205:130503,0,0,9
Testing,20130205:130503,20130205:130532,0,0,8
Testing,20130205:130532,20130205:130534,0,0,0
Testing,20130205:130534,20130205:130536,0,0,2
Testing,20130205:130536,20130205:130836,0,0,0
Testing,20130205:130944,20130205:131003,0,0,6
Testing,20130205:131003,20130205:131247,0,0,6
Testing,20130205:131247,20130205:131249,0,0,0
Other,20130205:131250,20130205:131255,0,0,1
Testing,20130205:131255,20130205:131504,0,0,1
Testing,20130205:131504,20130205:131533,0,0,0
FileOperation,20130205:131533,20130205:131542,0,0,10
Other,20130205:131542,20130205:131546,0,0,1
Testing,20130205:131546,20130205:131554,0,0,0
Other,20130205:131554,20130205:131604,0,0,14
Other,20130205:131604,20130205:131606,0,0,1
Testing,20130205:131606,20130205:131816,0,0,29
Testing,20130205:131816,20130205:131818,0,0,0
Testing,20130205:131819,20130205:131820,0,0,0
FileOperation,20130205:131820,20130205:131821,0,0,1
Testing,20130205:131821,20130205:132004,0,0,2
Testing,20130205:132004,20130205:132504,0,0,98
Testing,20130205:132504,20130205:132524,0,0,1
Other,20130205:132524,20130205:132526,0,0,2
Testing,20130205:132526,20130205:132537,0,0,26
Other,20130205:132537,20130205:132539,0,0,2
Other,20130205:132539,20130205:132542,0,0,0
Other,20130205:132542,20130205:132544,0,0,1
Testing,20130205:132544,20130205:132619,0,0,26
Testing,20130205:132619,20130205:132620,0,0,0
Testing,20130205:132621,20130205:132825,0,0,24
FileOperation,20130205:132825,20130205:132837,0,0,0
FileOperation,20130205:132837,20130205:132838,0,0,0
FileOperation,20130205:132838,20130205:132842,0,0,0
Other,20130205:132842,20130205:132848,0,0,4
Other,20130205:132848,20130205:132855,0,0,12
Other,20130205:132855,20130205:132918,0,0,38
Testing,20130205:132918,20130205:132934,0,0,13
Testing,20130205:132934,20130205:132935,0,0,0
Testing,20130205:132935,20130205:132936,0,0,1
Testing,20130205:132936,20130205:132938,0,0,2
FileOperation,20130205:132938,20130205:132940,0,0,0
FileOperation,20130205:132940,20130205:132941,0,0,0
Other,20130205:132941,20130205:132942,0,0,2
Testing,20130205:132942,20130205:132944,0,0,0
Testing,20130205:132944,20130205:132959,0,0,25
FileOperation,20130205:132959,20130205:133000,0,0,0
Other,20130205:133000,20130205:133001,0,0,0
Testing,20130205:133001,20130205:133003,0,0,0
Testing,20130205:133005,20130205:133008,0,0,0
Other,20130205:133008,20130205:133009,0,0,3
Testing,20130205:133009,20130205:133030,0,0,0
Testing,20130205:133030,20130205:133032,0,0,0
Testing,20130205:133032,20130205:133036,0,0,1
Testing,20130205:133036,20130205:133115,0,0,0
Other,20130205:133115,20130205:133118,0,0,5
Other,20130205:133118,20130205:133134,0,0,5
Testing,20130205:133134,20130205:133314,0,0,43
Other,20130205:133314,20130205:133316,0,0,0
Testing,20130205:133316,20130205:133326,0,0,0
Other,20130205:133326,20130205:133327,0,0,0
Testing,20130205:133327,20130205:133340,0,0,2
Testing,20130205:133340,20130205:133343,0,0,0
Testing,20130205:133343,20130205:133351,0,0,2
Testing,20130205:133351,20130205:133355,0,0,0
Other,20130205:133355,20130205:133403,0,0,3
Testing,20130205:133403,20130205:133412,0,0,0
Testing,20130205:133412,20130205:133415,0,0,1
Testing,20130205:133415,20130205:133505,0,0,16
Testing,20130205:133505,20130205:133831,0,0,51
Testing,20130205:133831,20130205:133837,0,0,0
Testing,20130205:133837,20130205:133953,0,0,2
Testing,20130205:133953,20130205:133958,0,0,0
Testing,20130205:133958,20130205:134005,0,0,0
Testing,20130205:134005,20130205:134008,0,0,2
Testing,20130205:134008,20130205:134015,0,0,0
Testing,20130205:134015,20130205:134021,0,0,0
Testing,20130205:134021,20130205:134023,0,0,0
Testing,20130205:134023,20130205:134036,0,0,0
Testing,20130205:134036,20130205:134041,0,0,0
Testing,20130205:134041,20130205:134043,0,0,0
Testing,20130205:134043,20130205:134054,0,0,0
Testing,20130205:134054,20130205:134101,0,0,9
Testing,20130205:134101,20130205:134106,0,0,0
Testing,20130205:134106,20130205:134107,0,0,0
Testing,20130205:134107,20130205:134112,0,0,0
Testing,20130205:134112,20130205:134116,0,0,10
Testing,20130205:134116,20130205:134117,0,0,0
Testing,20130205:134117,20130205:134121,0,0,0
Testing,20130205:134121,20130205:134122,0,0,0
Testing,20130205:134122,20130205:134126,0,0,0
Testing,20130205:134126,20130205:134129,0,0,0
Testing,20130205:134129,20130205:134137,0,0,0
Testing,20130205:134137,20130205:134139,0,0,0
Testing,20130205:134139,20130205:134151,0,0,0
Testing,20130205:134151,20130205:134234,0,0,0
Testing,20130205:134234,20130205:134235,0,0,0
Testing,20130205:134235,20130205:134257,0,0,0
Testing,20130205:134257,20130205:134303,0,0,0
Testing,20130205:134303,20130205:134304,0,0,0
Testing,20130205:134304,20130205:134313,0,0,0
Testing,20130205:134313,20130205:134324,0,0,1
Testing,20130205:134324,20130205:134333,0,0,0
Testing,20130205:134333,20130205:134334,0,0,0
Testing,20130205:134334,20130205:134340,0,0,0
Testing,20130205:134340,20130205:134347,0,0,0
Testing,20130205:134347,20130205:134356,0,0,1
Testing,20130205:134356,20130205:134402,0,0,0
Testing,20130205:134402,20130205:134403,0,0,0
Testing,20130205:134403,20130205:134406,0,0,0
Testing,20130205:134406,20130205:134407,0,0,0
Testing,20130205:134407,20130205:134410,0,0,2
Testing,20130205:134410,20130205:134505,0,0,8
Testing,20130205:134505,20130205:135005,0,0,56
Testing,20130205:135005,20130205:135505,0,0,51
Testing,20130205:135505,20130205:135643,0,0,0
Testing,20130205:135717,20130205:135922,0,0,22
Testing,20130205:135922,20130205:135924,0,0,0
Testing,20130205:135924,20130205:135925,0,0,0
Testing,20130205:135925,20130205:135926,0,0,0
Testing,20130205:135926,20130205:135928,0,0,0
Testing,20130205:135928,20130205:135932,0,0,0
Testing,20130205:135932,20130205:135936,0,0,3
Testing,20130205:135936,20130205:135937,0,0,0
Testing,20130205:135937,20130205:135939,0,0,0
Testing,20130205:135939,20130205:135941,0,0,0
Testing,20130205:135941,20130205:135947,0,0,3
Testing,20130205:135947,20130205:135949,0,0,0
Testing,20130205:135949,20130205:135950,0,0,0
Testing,20130205:135950,20130205:135954,0,0,1
Testing,20130205:135954,20130205:135955,0,0,0
Testing,20130205:135955,20130205:140001,0,0,0
Testing,20130205:140001,20130205:140003,0,0,0
Testing,20130205:140003,20130205:140006,0,0,0
Testing,20130205:140006,20130205:140018,0,0,0
Testing,20130205:140018,20130205:140020,0,0,0
Testing,20130205:140020,20130205:140024,0,0,2
Testing,20130205:140024,20130205:140029,0,0,0
Testing,20130205:140029,20130205:140031,0,0,0
Testing,20130205:140031,20130205:140034,0,0,0
Testing,20130205:140034,20130205:140036,0,0,0
Testing,20130205:140036,20130205:140042,0,0,0
Testing,20130205:140043,20130205:140054,0,0,1
Testing,20130205:140054,20130205:140105,0,0,4
Testing,20130205:140105,20130205:140139,0,0,12
Testing,20130205:140139,20130205:140142,0,0,0
Testing,20130205:140142,20130205:140143,0,0,0
Testing,20130205:140143,20130205:140146,0,0,0
Testing,20130205:140146,20130205:140147,0,0,3
Testing,20130205:140147,20130205:140241,0,0,114
Testing,20130205:140241,20130205:140242,0,0,0
Testing,20130205:140242,20130205:140244,0,0,2
Testing,20130205:140244,20130205:140250,0,0,8
Testing,20130205:140250,20130205:140254,0,0,2
Testing,20130205:140254,20130205:140331,0,0,0
Testing,20130205:140331,20130205:140334,0,0,2
Testing,20130205:140334,20130205:140341,0,0,2
Testing,20130205:140341,20130205:140346,0,0,4
Testing,20130205:140346,20130205:140348,0,0,0
Testing,20130205:140348,20130205:140350,0,0,0
Testing,20130205:140350,20130205:140359,0,0,5
Testing,20130205:140359,20130205:140403,0,0,1
Testing,20130205:140403,20130205:140452,0,0,3
Testing,20130205:140452,20130205:140506,0,0,35
Testing,20130205:140506,20130205:140744,0,0,297
Testing,20130205:140744,20130205:140747,0,0,0
Testing,20130205:140747,20130205:140750,0,0,0
Testing,20130205:140750,20130205:140751,0,0,0
Testing,20130205:140751,20130205:140755,0,0,0
Testing,20130205:140755,20130205:140756,0,0,0
Testing,20130205:140756,20130205:140757,0,0,0
Testing,20130205:140757,20130205:140802,0,0,0
Testing,20130205:140802,20130205:140803,0,0,0
Testing,20130205:140803,20130205:140804,0,0,0
Testing,20130205:140804,20130205:140818,0,0,0
Testing,20130205:140818,20130205:140819,0,0,0
Testing,20130205:140819,20130205:141006,0,0,0
Testing,20130205:141006,20130205:141015,0,0,0
Testing,20130205:141015,20130205:141017,0,0,0
Testing,20130205:141017,20130205:141042,0,0,0
Testing,20130205:141904,20130205:141908,0,0,1
Testing,20130205:141908,20130205:141914,0,0,0
Testing,20130205:141914,20130205:141918,0,0,0
Testing,20130205:141918,20130205:141919,0,0,3
Testing,20130205:141919,20130205:141920,0,0,6
Testing,20130205:141920,20130205:141921,0,0,1
Testing,20130205:141921,20130205:141923,0,0,0
Testing,20130205:141923,20130205:141924,0,0,2
Testing,20130205:141924,20130205:141930,0,0,14
Testing,20130205:141930,20130205:141932,0,0,0
Testing,20130205:141932,20130205:141933,0,0,0
Testing,20130205:141933,20130205:141935,0,0,0
Testing,20130205:141935,20130205:141937,0,0,0
Testing,20130205:141937,20130205:141938,0,0,0
Testing,20130205:141938,20130205:141941,0,0,1
Testing,20130205:141941,20130205:142006,0,0,0
Testing,20130205:142006,20130205:142504,0,0,40
Testing,20130205:142643,20130205:142912,0,0,47
Testing,20130205:142912,20130205:142917,0,0,0
Other,20130205:142917,20130205:142955,0,0,0
Testing,20130205:142955,20130205:143006,0,0,0
Other,20130205:143006,20130205:143007,0,0,0
Other,20130205:143007,20130205:143008,0,0,0
Testing,20130205:143008,20130205:143018,0,0,0
FileOperation,20130205:143018,20130205:143024,0,0,0
FileOperation,20130205:143024,20130205:143027,0,0,0
Other,20130205:143027,20130205:143041,0,0,0
FileOperation,20130205:143041,20130205:143047,0,0,0
Testing,20130205:143047,20130205:143050,0,0,0
Other,20130205:143050,20130205:143056,0,0,0
Testing,20130205:143056,20130205:143102,0,0,0
Testing,20130205:143122,20130205:143343,0,0,2
Testing,20130205:143343,20130205:143346,0,0,0
Other,20130205:143346,20130205:143423,0,0,0
Excel,20130205:145114,20130205:145115,0,0,2
Excel,20130205:145936,20130205:150008,0,0,2
