Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130207:085319,20130207:085322,0,0,0
FileOperation,20130207:085323,20130207:085323,0,0,1
FileOperation,20130207:085323,20130207:085324,0,0,1
FileOperation,20130207:085324,20130207:085330,0,0,1
FileOperation,20130207:085330,20130207:085331,0,0,1
FileOperation,20130207:085331,20130207:085341,0,0,0
Other,20130207:085341,20130207:085343,0,0,0
Other,20130207:085343,20130207:085350,0,0,0
Other,20130207:085350,20130207:085400,0,0,0
Other,20130207:085400,20130207:085402,0,0,0
Other,20130207:085402,20130207:085420,0,0,0
Other,20130207:085420,20130207:085425,0,0,4
Other,20130207:085425,20130207:085428,0,0,0
Other,20130207:085428,20130207:085430,0,0,0
Other,20130207:085430,20130207:085435,0,0,0
Other,20130207:085435,20130207:085436,0,0,0
Other,20130207:085436,20130207:085438,0,0,0
Other,20130207:085438,20130207:085440,0,0,0
Other,20130207:085440,20130207:085442,0,0,0
Other,20130207:085442,20130207:085443,0,0,0
Other,20130207:085443,20130207:085500,0,0,0
Other,20130207:085500,20130207:085506,0,0,0
FileOperation,20130207:085512,20130207:085514,0,0,0
Other,20130207:085514,20130207:085723,0,0,0
Email,20130207:090124,20130207:090126,0,0,1
Email,20130207:090126,20130207:090131,0,0,3
Email,20130207:090131,20130207:090139,0,0,2
FileOperation,20130207:090139,20130207:090149,0,0,6
FileOperation,20130207:090149,20130207:090152,0,0,0
FileOperation,20130207:090152,20130207:090200,0,0,0
Excel,20130207:090200,20130207:090201,0,0,0
Excel,20130207:090201,20130207:090208,0,0,0
Excel,20130207:090208,20130207:090209,0,0,0
Excel,20130207:090209,20130207:090211,0,0,0
Excel,20130207:090211,20130207:090212,0,0,0
FileOperation,20130207:090212,20130207:090213,0,0,0
Excel,20130207:090213,20130207:090214,0,0,0
Excel,20130207:090214,20130207:090218,0,0,0
Excel,20130207:090218,20130207:090219,0,0,0
Excel,20130207:090219,20130207:090221,0,0,0
FileOperation,20130207:090221,20130207:090233,0,0,0
Other,20130207:090233,20130207:090235,0,0,0
Other,20130207:090235,20130207:090441,0,0,0
Other,20130207:090441,20130207:090442,0,0,0
Other,20130207:090442,20130207:090449,0,0,0
Testing,20130207:092941,20130207:092945,0,0,13
Testing,20130207:092945,20130207:092950,0,0,2
Testing,20130207:092950,20130207:093001,0,0,0
Testing,20130207:093001,20130207:093002,0,0,0
FileOperation,20130207:093002,20130207:093026,0,0,0
FileOperation,20130207:093026,20130207:093038,0,0,0
Excel,20130207:093038,20130207:093049,0,0,0
Excel,20130207:093049,20130207:093251,0,0,0
Other,20130207:093315,20130207:093323,0,0,8
Other,20130207:093323,20130207:093437,0,0,0
Excel,20130207:093437,20130207:093443,0,0,0
Excel,20130207:093443,20130207:093455,0,0,0
Other,20130207:093455,20130207:093456,0,0,0
Other,20130207:093456,20130207:093501,0,0,0
Other,20130207:093501,20130207:093619,0,0,0
Email,20130207:094359,20130207:094408,0,0,1
Email,20130207:095924,20130207:095927,0,0,1
Other,20130207:095927,20130207:095932,0,0,0
Other,20130207:095932,20130207:100002,0,0,0
Other,20130207:100002,20130207:100144,0,0,0
Other,20130207:100144,20130207:100145,0,0,0
Other,20130207:100145,20130207:100218,0,0,0
Other,20130207:100218,20130207:100219,0,0,0
Other,20130207:100219,20130207:100225,0,0,0
FileOperation,20130207:100355,20130207:100416,0,0,49
Excel,20130207:100416,20130207:100502,0,0,35
Excel,20130207:100502,20130207:100521,0,0,1
FileOperation,20130207:100521,20130207:100526,0,0,0
FileOperation,20130207:100526,20130207:100530,0,0,0
FileOperation,20130207:100530,20130207:100533,0,0,0
Excel,20130207:100533,20130207:100629,0,0,18
Email,20130207:100629,20130207:100635,0,0,2
Other,20130207:100635,20130207:100647,0,0,0
Word&Powerpoint,20130207:100647,20130207:100825,0,0,0
Other,20130207:100825,20130207:100830,0,0,0
FileOperation,20130207:100830,20130207:100831,0,0,0
Excel,20130207:100833,20130207:100835,0,0,0
Excel,20130207:100835,20130207:100837,0,0,0
FileOperation,20130207:100837,20130207:100838,0,0,0
Excel,20130207:100838,20130207:100839,0,0,0
Excel,20130207:100839,20130207:100841,0,0,0
FileOperation,20130207:100841,20130207:100849,0,0,0
FileOperation,20130207:100849,20130207:100854,0,0,0
Excel,20130207:100854,20130207:100916,0,0,0
FileOperation,20130207:100917,20130207:100918,0,0,0
FileOperation,20130207:100918,20130207:100919,0,0,0
Excel,20130207:100919,20130207:100932,0,0,0
Excel,20130207:100939,20130207:101002,0,0,37
Excel,20130207:101002,20130207:101201,0,0,139
FileOperation,20130207:101201,20130207:101206,0,0,0
FileOperation,20130207:101206,20130207:101207,0,0,0
FileOperation,20130207:101207,20130207:101208,0,0,0
FileOperation,20130207:101208,20130207:101230,0,0,0
Excel,20130207:101232,20130207:101248,0,0,19
FileOperation,20130207:101248,20130207:101250,0,0,0
Excel,20130207:101250,20130207:101321,0,0,54
Other,20130207:101321,20130207:101322,0,0,0
Other,20130207:101322,20130207:101326,0,0,0
FileOperation,20130207:101326,20130207:101328,0,0,0
Other,20130207:101328,20130207:101330,0,0,3
Other,20130207:101330,20130207:101401,0,0,34
Excel,20130207:101401,20130207:101408,0,0,4
