Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
FileOperation,20130205:112507,20130205:112510,1,0,0
FileOperation,20130205:112510,20130205:112511,1,0,0
FileOperation,20130205:112511,20130205:112514,3,0,0
Other,20130205:112514,20130205:112517,2,0,0
Other,20130205:112517,20130205:112518,1,0,0
FileOperation,20130205:112518,20130205:112534,1,0,0
FileOperation,20130205:112534,20130205:112536,1,0,0
FileOperation,20130205:112536,20130205:112549,2,0,0
Testing,20130205:112549,20130205:112551,1,0,0
Testing,20130205:112551,20130205:112554,2,0,0
Testing,20130205:112554,20130205:112555,0,0,0
Testing,20130205:112555,20130205:112617,5,2,0
Testing,20130205:112617,20130205:112631,3,0,2
Testing,20130205:112631,20130205:112637,1,0,0
Testing,20130205:112637,20130205:112645,3,0,0
Testing,20130205:112645,20130205:112655,1,1,0
Testing,20130205:112655,20130205:112656,0,0,0
Testing,20130205:112656,20130205:112713,1,0,0
Other,20130205:112713,20130205:112801,8,0,0
Email,20130205:112801,20130205:112802,1,0,0
Email,20130205:112802,20130205:112806,2,1,0
Email,20130205:112806,20130205:112807,1,0,0
Email,20130205:112807,20130205:112809,1,0,0
Email,20130205:112809,20130205:112812,2,1,0
Email,20130205:112812,20130205:112814,2,0,0
Email,20130205:112814,20130205:112817,2,0,3
Email,20130205:112817,20130205:112819,2,0,3
Email,20130205:112819,20130205:112911,14,0,12
Email,20130205:112911,20130205:112923,4,0,0
Email,20130205:112923,20130205:112945,6,0,0
Email,20130205:112945,20130205:113000,3,0,2
Email,20130205:113000,20130205:113014,3,0,0
Email,20130205:113014,20130205:113016,1,0,0
Email,20130205:113016,20130205:113025,4,0,1
Email,20130205:113025,20130205:113026,1,0,0
Email,20130205:113026,20130205:113031,4,1,0
Email,20130205:113031,20130205:113034,1,0,0
Email,20130205:113034,20130205:113043,5,0,0
Email,20130205:113043,20130205:113049,2,0,0
Email,20130205:113049,20130205:113057,5,0,0
Email,20130205:113057,20130205:113112,3,1,0
Email,20130205:113112,20130205:113117,2,0,0
Email,20130205:113117,20130205:113119,3,0,0
Email,20130205:113119,20130205:113125,1,0,0
Email,20130205:113125,20130205:113222,15,1,17
Email,20130205:113222,20130205:113224,2,0,0
Email,20130205:113224,20130205:113227,2,0,0
Email,20130205:113227,20130205:113500,80,0,55
Email,20130205:113500,20130205:113505,1,0,0
Email,20130205:113505,20130205:113508,1,0,0
Email,20130205:113508,20130205:113533,21,0,0
Email,20130205:113533,20130205:113534,0,0,0
Email,20130205:113534,20130205:113538,1,0,0
Email,20130205:113538,20130205:113540,1,0,0
Email,20130205:113540,20130205:113541,1,0,0
Email,20130205:113541,20130205:113555,4,0,0
Email,20130205:113555,20130205:113557,2,0,0
Email,20130205:113557,20130205:113558,1,0,0
