Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130208:103839,20130208:103842,0,0,0
FileOperation,20130208:103842,20130208:103845,0,0,0
FileOperation,20130208:103845,20130208:103907,0,0,0
FileOperation,20130208:103907,20130208:103910,0,0,0
FileOperation,20130208:103910,20130208:103915,0,0,0
FileOperation,20130208:103915,20130208:103916,0,0,0
FileOperation,20130208:103916,20130208:103918,0,0,0
FileOperation,20130208:103918,20130208:103921,0,0,0
FileOperation,20130208:103921,20130208:103925,0,0,0
Excel,20130208:103925,20130208:103926,0,0,0
Excel,20130208:103926,20130208:103948,0,0,2
FileOperation,20130208:103948,20130208:104000,0,0,0
FileOperation,20130208:104000,20130208:104022,0,0,0
Testing,20130208:104022,20130208:104027,0,0,0
Testing,20130208:104027,20130208:104049,0,0,15
Testing,20130208:104049,20130208:104051,0,0,3
Testing,20130208:104051,20130208:104151,0,0,1
Testing,20130208:104151,20130208:104152,0,0,1
Testing,20130208:104152,20130208:104153,0,0,0
Excel,20130208:104153,20130208:104246,0,0,0
Browser,20130208:104249,20130208:104306,0,0,0
Excel,20130208:104306,20130208:104313,0,0,1
Testing,20130208:104313,20130208:104319,0,0,0
Excel,20130208:104319,20130208:104321,0,0,0
Other,20130208:104321,20130208:104324,0,0,0
Other,20130208:104324,20130208:104328,0,0,0
Other,20130208:104328,20130208:104330,0,0,3
Other,20130208:104330,20130208:104336,0,0,0
Other,20130208:104336,20130208:104338,0,0,0
Other,20130208:104338,20130208:104413,0,0,5
Excel,20130208:104413,20130208:104418,0,0,4
Other,20130208:104418,20130208:104434,0,0,1
Excel,20130208:104434,20130208:104437,0,0,2
Browser,20130208:104437,20130208:104439,0,0,0
Excel,20130208:104439,20130208:104500,0,0,0
Excel,20130208:104500,20130208:104512,0,0,0
Other,20130208:104512,20130208:104526,0,0,3
Excel,20130208:104526,20130208:104558,0,0,2
Other,20130208:104558,20130208:104609,0,0,3
Excel,20130208:104609,20130208:104611,0,0,2
Other,20130208:104611,20130208:104627,0,0,3
Excel,20130208:104627,20130208:104709,0,0,14
Other,20130208:104709,20130208:104712,0,0,0
Excel,20130208:104712,20130208:104807,0,0,5
Other,20130208:104807,20130208:104815,0,0,1
Testing,20130208:104815,20130208:104818,0,0,4
FileOperation,20130208:104818,20130208:104819,0,0,2
Testing,20130208:104819,20130208:105000,0,0,4
Testing,20130208:105000,20130208:105432,0,0,30
Browser,20130208:105433,20130208:105441,0,0,0
Email,20130208:105443,20130208:105446,0,0,0
Email,20130208:105446,20130208:105454,0,0,0
Browser,20130208:105454,20130208:105500,0,0,0
Browser,20130208:105500,20130208:105503,0,0,0
Browser,20130208:105503,20130208:105508,0,0,0
Browser,20130208:105508,20130208:105517,0,0,0
Browser,20130208:105517,20130208:105538,0,0,2
Testing,20130208:105538,20130208:105548,0,0,0
Browser,20130208:105548,20130208:105550,0,0,0
Browser,20130208:105550,20130208:105615,0,0,1
Testing,20130208:105615,20130208:105629,0,0,0
Browser,20130208:105629,20130208:105639,0,0,1
Testing,20130208:105639,20130208:105650,0,0,0
Browser,20130208:105650,20130208:105651,0,0,0
Browser,20130208:105651,20130208:105657,0,0,0
FileOperation,20130208:105657,20130208:105659,0,0,0
FileOperation,20130208:105659,20130208:105701,0,0,0
FileOperation,20130208:105701,20130208:105702,0,0,0
FileOperation,20130208:105702,20130208:105706,0,0,0
Other,20130208:105706,20130208:105707,0,0,0
FileOperation,20130208:105707,20130208:105710,0,0,0
Other,20130208:105710,20130208:105757,0,0,0
FileOperation,20130208:105757,20130208:105759,0,0,0
FileOperation,20130208:105759,20130208:105803,0,0,0
FileOperation,20130208:105803,20130208:105805,0,0,0
Other,20130208:105805,20130208:105807,0,0,0
Other,20130208:105807,20130208:105855,0,0,0
Browser,20130208:105855,20130208:105857,0,0,0
Browser,20130208:105857,20130208:105920,0,0,0
Browser,20130208:105920,20130208:105921,0,0,0
Other,20130208:105921,20130208:105927,0,0,0
Browser,20130208:105927,20130208:105930,0,0,0
Other,20130208:105930,20130208:105938,0,0,0
Email,20130208:110128,20130208:110144,0,0,10
Browser,20130208:110144,20130208:110222,0,0,0
Browser,20130208:110222,20130208:110227,0,0,0
FileOperation,20130208:110227,20130208:110251,0,0,0
FileOperation,20130208:110251,20130208:110303,0,0,1
Testing,20130208:110303,20130208:110457,0,0,0
Other,20130208:110457,20130208:110501,0,0,0
Other,20130208:110501,20130208:110502,0,0,0
Other,20130208:110502,20130208:110510,0,0,0
Other,20130208:110510,20130208:110511,0,0,0
FileOperation,20130208:110511,20130208:110512,0,0,0
Other,20130208:110512,20130208:110522,0,0,0
FileOperation,20130208:110522,20130208:110523,0,0,0
FileOperation,20130208:110523,20130208:110532,0,0,0
Other,20130208:110532,20130208:110549,0,0,0
Other,20130208:110549,20130208:110551,0,0,0
Other,20130208:110551,20130208:110602,0,0,0
Other,20130208:110806,20130208:110807,0,0,1
Testing,20130208:110807,20130208:111001,0,0,1
Testing,20130208:111001,20130208:111011,0,0,0
Other,20130208:111011,20130208:111100,0,0,0
Other,20130208:111100,20130208:111111,0,0,0
Browser,20130208:111255,20130208:111256,0,0,1
Testing,20130208:111256,20130208:111501,0,0,15
Testing,20130208:111501,20130208:111647,0,0,0
Browser,20130208:112326,20130208:112336,0,0,11
Browser,20130208:112336,20130208:112338,0,0,0
Browser,20130208:112338,20130208:112340,0,0,0
Browser,20130208:112340,20130208:112411,0,0,0
Other,20130208:112412,20130208:112413,0,0,0
Browser,20130208:112413,20130208:112415,0,0,1
Testing,20130208:112415,20130208:112501,0,0,6
Testing,20130208:112501,20130208:112502,0,0,0
Browser,20130208:112502,20130208:112542,0,0,1
Testing,20130208:112542,20130208:112648,0,0,0
Browser,20130208:112648,20130208:112649,0,0,0
Browser,20130208:112649,20130208:112702,0,0,0
