"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","98","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","75","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","34","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","6","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","16","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","89","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","33","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","6","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","39","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","23","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","81","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","27","0","0"
"2013年02月05日12時45分","4","0","0","0","0","0","0","0","5","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","16","0","0","0","0","0","0","0","9","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","16","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","7","0","1"
"2013年02月05日13時20分","0","0","11","0","0","0","0","0","31","0","16"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","98","0","0"
"2013年02月05日13時30分","0","0","0","54","0","0","0","0","118","0","7"
"2013年02月05日13時35分","0","0","0","10","0","0","0","0","65","0","6"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","53","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","33","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","56","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","51","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","29","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","200","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","297","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","28","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","40","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","47","0","0"
"2013年02月05日14時35分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","19","0","0","0","0","0"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時25分","19","0","0","0","0","0","0","0","0","0","0"
