"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月06日09時20分","0","18","0","0","0","0","0","0","0","0","1"
"2013年02月06日09時25分","20","3","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","32","35","2","1","0","0","0","0","0","0","0"
"2013年02月06日09時35分","7","26","33","0","0","33","0","0","0","0","0"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時05分","2","5","0","0","0","3","0","0","0","0","0"
"2013年02月06日10時10分","1","22","31","0","0","18","5","0","0","0","0"
"2013年02月06日10時15分","0","4","35","0","0","44","7","0","0","0","0"
"2013年02月06日10時20分","3","6","20","0","0","25","5","0","0","0","0"
"2013年02月06日10時25分","0","25","66","0","0","1","0","0","0","0","2"
"2013年02月06日10時30分","3","34","14","2","0","7","0","0","0","0","0"
"2013年02月06日10時35分","10","13","36","0","0","2","3","0","0","0","0"
"2013年02月06日10時40分","2","65","0","0","0","4","4","0","0","0","0"
"2013年02月06日10時45分","3","5","19","0","0","46","0","0","0","0","2"
"2013年02月06日10時50分","9","5","11","0","0","20","3","0","0","0","0"
"2013年02月06日10時55分","12","3","3","0","0","12","2","0","0","0","0"
"2013年02月06日11時00分","22","4","5","0","0","5","0","0","0","0","4"
"2013年02月06日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時10分","21","0","3","0","0","0","0","0","0","0","1"
"2013年02月06日11時15分","0","12","40","0","0","53","4","0","0","0","0"
"2013年02月06日11時20分","0","0","34","0","0","81","0","0","0","0","0"
"2013年02月06日11時25分","0","0","0","0","0","146","0","0","0","0","0"
"2013年02月06日11時30分","0","0","3","0","0","36","0","0","0","0","0"
"2013年02月06日11時35分","7","0","39","0","0","47","0","0","0","0","0"
"2013年02月06日11時40分","0","1","25","0","0","56","3","0","0","0","0"
"2013年02月06日11時45分","0","2","9","0","0","4","2","0","0","0","0"
"2013年02月06日11時50分","14","2","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","27","25","0","0","6","5","0","0","0","2"
"2013年02月06日12時00分","0","0","26","0","0","3","3","0","0","0","0"
"2013年02月06日12時05分","8","4","14","0","0","9","2","0","0","0","0"
"2013年02月06日12時10分","0","0","47","0","0","0","1","0","0","0","0"
"2013年02月06日12時15分","5","0","0","0","0","0","1","0","0","0","0"
"2013年02月06日12時20分","31","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","11","4","4","0","0","0","3","0","0","0","0"
"2013年02月06日12時30分","0","22","0","0","0","0","4","0","0","0","0"
"2013年02月06日12時35分","3","16","3","0","0","0","2","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
