Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130205:112942,20130205:112949,0,0,0
Testing,20130205:112949,20130205:112957,0,0,14
Testing,20130205:112957,20130205:112958,0,0,2
Testing,20130205:112958,20130205:113000,0,0,1
Testing,20130205:113000,20130205:113024,0,0,2
Other,20130205:113025,20130205:113027,0,0,4
Testing,20130205:113027,20130205:113033,0,0,1
Other,20130205:113033,20130205:113040,0,0,5
Testing,20130205:113040,20130205:113053,0,0,5
Other,20130205:113053,20130205:113058,0,0,2
Testing,20130205:113058,20130205:113146,0,0,0
Testing,20130205:113146,20130205:113147,0,0,2
Other,20130205:113147,20130205:113150,0,0,0
Email,20130205:113150,20130205:113151,0,0,0
Other,20130205:113151,20130205:113154,0,0,0
FileOperation,20130205:113154,20130205:113158,0,0,0
Email,20130205:113158,20130205:113159,0,0,0
Email,20130205:113159,20130205:113200,0,0,0
Email,20130205:113200,20130205:113201,0,0,0
Word&Powerpoint,20130205:113201,20130205:113202,0,0,0
Word&Powerpoint,20130205:113202,20130205:113447,0,0,0
Excel,20130205:113701,20130205:113702,0,0,1
Excel,20130205:113702,20130205:113827,0,0,0
Email,20130205:113827,20130205:113835,0,0,0
Email,20130205:113836,20130205:113841,0,0,0
Email,20130205:113841,20130205:113842,0,0,0
Email,20130205:113842,20130205:113843,0,0,0
Other,20130205:113843,20130205:113907,0,0,5
Testing,20130205:113907,20130205:113914,0,0,26
Other,20130205:113914,20130205:113915,0,0,0
Testing,20130205:113915,20130205:113917,0,0,0
Testing,20130205:113917,20130205:113918,0,0,0
Testing,20130205:113918,20130205:113920,0,0,0
Email,20130205:113920,20130205:113923,0,0,0
Email,20130205:113923,20130205:113938,0,0,2
Testing,20130205:113938,20130205:113939,0,0,3
Testing,20130205:113939,20130205:113940,0,0,0
Testing,20130205:113940,20130205:113942,0,0,0
Testing,20130205:113942,20130205:113945,0,0,4
Testing,20130205:113945,20130205:113957,0,0,9
Testing,20130205:113957,20130205:113958,0,0,1
Testing,20130205:113958,20130205:114001,0,0,0
Testing,20130205:114001,20130205:114002,0,0,0
Email,20130205:114002,20130205:114003,0,0,0
Other,20130205:114004,20130205:114034,0,0,80
Testing,20130205:114035,20130205:114036,0,0,2
Testing,20130205:114036,20130205:114038,0,0,0
Testing,20130205:114038,20130205:114041,0,0,3
Testing,20130205:114041,20130205:114044,0,0,1
Testing,20130205:114044,20130205:114049,0,0,7
Email,20130205:114049,20130205:114050,0,0,2
Testing,20130205:114050,20130205:114053,0,0,4
Testing,20130205:114053,20130205:114055,0,0,0
Testing,20130205:114055,20130205:114101,0,0,0
Other,20130205:114101,20130205:114249,0,0,258
Testing,20130205:114249,20130205:114250,0,0,0
Testing,20130205:114250,20130205:114253,0,0,2
Testing,20130205:114253,20130205:114254,0,0,0
Testing,20130205:114254,20130205:114255,0,0,0
Testing,20130205:114255,20130205:114258,0,0,6
Testing,20130205:114258,20130205:114259,0,0,1
Testing,20130205:114259,20130205:114301,0,0,0
