"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日11時35分","1","0","0","1","0","0","0","0","0","0","51"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","90"
"2013年02月05日11時45分","1","1","0","0","0","0","0","0","0","0","61"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","86"
"2013年02月05日11時55分","0","0","0","0","0","15","0","0","0","0","11"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","7","0","7"
"2013年02月05日12時45分","5","0","0","4","0","0","0","0","0","0","37"
"2013年02月05日12時50分","0","0","1","18","0","1","0","0","0","0","62"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","22"
"2013年02月05日13時00分","0","0","1","0","0","1","0","0","0","0","146"
"2013年02月05日13時05分","0","0","1","7","0","1","0","0","20","0","86"
"2013年02月05日13時10分","0","0","0","7","0","0","0","0","0","0","55"
"2013年02月05日13時15分","0","1","0","7","0","0","0","0","0","0","67"
"2013年02月05日13時20分","0","0","0","7","0","0","0","0","0","0","51"
"2013年02月05日13時25分","0","1","0","1","0","7","0","0","0","0","13"
"2013年02月05日13時30分","0","0","0","0","0","3","0","0","0","0","17"
"2013年02月05日13時35分","0","0","0","0","0","1","0","0","0","0","34"
"2013年02月05日13時40分","5","0","1","0","0","17","0","0","1","0","19"
"2013年02月05日13時45分","0","1","0","5","0","0","0","0","0","0","51"
"2013年02月05日13時50分","0","0","0","0","0","3","0","0","0","0","3"
"2013年02月05日13時55分","32","0","0","0","0","3","0","0","0","0","22"
"2013年02月05日14時00分","11","0","1","0","0","48","0","0","0","0","4"
"2013年02月05日14時05分","0","0","2","0","0","24","0","0","55","0","3"
"2013年02月05日14時10分","0","0","0","13","0","2","0","0","11","0","53"
"2013年02月05日14時15分","1","0","0","0","0","0","0","0","0","0","59"
"2013年02月05日14時20分","0","0","0","0","0","24","0","0","100","0","4"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","8","0","192"
"2013年02月05日14時35分","17","0","0","0","0","0","0","0","19","0","157"
"2013年02月05日14時40分","0","0","8","0","0","0","0","0","0","0","32"
"2013年02月05日14時45分","0","1","0","0","0","25","0","0","0","0","363"
"2013年02月05日14時50分","0","0","4","0","0","0","0","0","7","0","103"
"2013年02月05日14時55分","0","0","3","0","0","0","0","0","15","0","247"
"2013年02月05日15時00分","0","0","0","0","0","2","0","0","0","0","385"
"2013年02月05日15時05分","0","2","0","0","0","0","0","0","2","0","16"
"2013年02月05日15時10分","0","0","13","0","0","11","0","0","5","0","147"
"2013年02月05日15時15分","1","0","1","0","0","0","0","0","14","0","61"
"2013年02月05日15時20分","0","3","0","0","0","0","0","0","27","0","18"
"2013年02月05日15時25分","1","0","27","0","0","14","0","0","12","0","154"
"2013年02月05日15時30分","0","2","3","0","0","56","0","0","0","0","32"
"2013年02月05日15時35分","0","0","0","0","0","1","0","0","0","0","33"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","1","0","2"
"2013年02月05日15時45分","0","0","0","0","0","4","0","0","0","0","0"
"2013年02月05日15時50分","0","0","155","0","0","237","0","0","0","0","0"
"2013年02月05日15時55分","0","0","14","0","0","128","0","0","0","0","2"
"2013年02月05日16時00分","0","0","0","0","0","116","0","0","0","0","0"
"2013年02月05日16時05分","0","0","2","0","0","15","0","0","0","0","0"
"2013年02月05日16時10分","0","3","15","0","0","12","0","0","0","0","2"
"2013年02月05日16時15分","18","0","0","0","0","61","0","0","0","0","1"
