"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月05日11時32分23秒","2013年02月05日11時32分24秒","0","0","0"
"テスト　","2013年02月05日11時32分24秒","2013年02月05日11時32分25秒","0","0","0"
"テスト　","2013年02月05日11時32分25秒","2013年02月05日11時35分00秒","0","0","2"
"テスト　","2013年02月05日11時35分00秒","2013年02月05日11時40分00秒","0","0","98"
"テスト　","2013年02月05日11時40分00秒","2013年02月05日11時45分01秒","0","0","75"
"テスト　","2013年02月05日11時45分01秒","2013年02月05日11時46分02秒","0","0","0"
"テスト　","2013年02月05日11時53分11秒","2013年02月05日11時55分01秒","0","0","34"
"テスト　","2013年02月05日11時55分01秒","2013年02月05日11時58分29秒","0","0","6"
"テスト　","2013年02月05日12時03分28秒","2013年02月05日12時05分01秒","0","0","16"
"テスト　","2013年02月05日12時05分01秒","2013年02月05日12時10分01秒","0","0","89"
"テスト　","2013年02月05日12時10分01秒","2013年02月05日12時15分02秒","0","0","33"
"テスト　","2013年02月05日12時15分02秒","2013年02月05日12時18分26秒","0","0","1"
"テスト　","2013年02月05日12時18分29秒","2013年02月05日12時20分02秒","0","0","5"
"テスト　","2013年02月05日12時20分02秒","2013年02月05日12時25分02秒","0","0","39"
"テスト　","2013年02月05日12時25分02秒","2013年02月05日12時30分02秒","0","0","23"
"テスト　","2013年02月05日12時30分02秒","2013年02月05日12時35分02秒","0","0","81"
"テスト　","2013年02月05日12時35分02秒","2013年02月05日12時40分02秒","0","0","27"
"テスト　","2013年02月05日12時40分02秒","2013年02月05日12時42分53秒","0","0","5"
"テスト　","2013年02月05日12時42分53秒","2013年02月05日12時42分56秒","0","0","0"
"ブラウザ","2013年02月05日12時42分56秒","2013年02月05日12時43分00秒","0","0","0"
"ブラウザ","2013年02月05日12時43分00秒","2013年02月05日12時43分02秒","0","0","0"
"ブラウザ","2013年02月05日12時43分02秒","2013年02月05日12時43分05秒","0","0","0"
"ブラウザ","2013年02月05日12時43分05秒","2013年02月05日12時43分09秒","0","0","0"
"ブラウザ","2013年02月05日12時43分09秒","2013年02月05日12時43分20秒","0","0","4"
"テスト　","2013年02月05日12時45分22秒","2013年02月05日12時46分21秒","0","0","0"
"ブラウザ","2013年02月05日13時04分06秒","2013年02月05日13時04分20秒","0","0","16"
"ブラウザ","2013年02月05日13時04分20秒","2013年02月05日13時04分22秒","0","0","0"
"ブラウザ","2013年02月05日13時04分22秒","2013年02月05日13時04分28秒","0","0","0"
"ブラウザ","2013年02月05日13時04分28秒","2013年02月05日13時04分29秒","0","0","0"
"テスト　","2013年02月05日13時04分29秒","2013年02月05日13時05分03秒","0","0","9"
"テスト　","2013年02月05日13時05分03秒","2013年02月05日13時05分32秒","0","0","8"
"テスト　","2013年02月05日13時05分32秒","2013年02月05日13時05分34秒","0","0","0"
"テスト　","2013年02月05日13時05分34秒","2013年02月05日13時05分36秒","0","0","2"
"テスト　","2013年02月05日13時05分36秒","2013年02月05日13時08分36秒","0","0","0"
"テスト　","2013年02月05日13時09分44秒","2013年02月05日13時10分03秒","0","0","6"
"テスト　","2013年02月05日13時10分03秒","2013年02月05日13時12分47秒","0","0","6"
"テスト　","2013年02月05日13時12分47秒","2013年02月05日13時12分49秒","0","0","0"
"登録外","2013年02月05日13時12分50秒","2013年02月05日13時12分55秒","0","0","1"
"テスト　","2013年02月05日13時12分55秒","2013年02月05日13時15分04秒","0","0","1"
"テスト　","2013年02月05日13時15分04秒","2013年02月05日13時15分33秒","0","0","0"
"ファイル操作","2013年02月05日13時15分33秒","2013年02月05日13時15分42秒","0","0","10"
"登録外","2013年02月05日13時15分42秒","2013年02月05日13時15分46秒","0","0","1"
"テスト　","2013年02月05日13時15分46秒","2013年02月05日13時15分54秒","0","0","0"
"登録外","2013年02月05日13時15分54秒","2013年02月05日13時16分04秒","0","0","14"
"登録外","2013年02月05日13時16分04秒","2013年02月05日13時16分06秒","0","0","1"
"テスト　","2013年02月05日13時16分06秒","2013年02月05日13時18分16秒","0","0","29"
"テスト　","2013年02月05日13時18分16秒","2013年02月05日13時18分18秒","0","0","0"
"テスト　","2013年02月05日13時18分19秒","2013年02月05日13時18分20秒","0","0","0"
"ファイル操作","2013年02月05日13時18分20秒","2013年02月05日13時18分21秒","0","0","1"
"テスト　","2013年02月05日13時18分21秒","2013年02月05日13時20分04秒","0","0","2"
"テスト　","2013年02月05日13時20分04秒","2013年02月05日13時25分04秒","0","0","98"
"テスト　","2013年02月05日13時25分04秒","2013年02月05日13時25分24秒","0","0","1"
"登録外","2013年02月05日13時25分24秒","2013年02月05日13時25分26秒","0","0","2"
"テスト　","2013年02月05日13時25分26秒","2013年02月05日13時25分37秒","0","0","26"
"登録外","2013年02月05日13時25分37秒","2013年02月05日13時25分39秒","0","0","2"
"登録外","2013年02月05日13時25分39秒","2013年02月05日13時25分42秒","0","0","0"
"登録外","2013年02月05日13時25分42秒","2013年02月05日13時25分44秒","0","0","1"
"テスト　","2013年02月05日13時25分44秒","2013年02月05日13時26分19秒","0","0","26"
"テスト　","2013年02月05日13時26分19秒","2013年02月05日13時26分20秒","0","0","0"
"テスト　","2013年02月05日13時26分21秒","2013年02月05日13時28分25秒","0","0","24"
"ファイル操作","2013年02月05日13時28分25秒","2013年02月05日13時28分37秒","0","0","0"
"ファイル操作","2013年02月05日13時28分37秒","2013年02月05日13時28分38秒","0","0","0"
"ファイル操作","2013年02月05日13時28分38秒","2013年02月05日13時28分42秒","0","0","0"
"調査　","2013年02月05日13時28分42秒","2013年02月05日13時28分48秒","0","0","4"
"調査　","2013年02月05日13時28分48秒","2013年02月05日13時28分55秒","0","0","12"
"調査　","2013年02月05日13時28分55秒","2013年02月05日13時29分18秒","0","0","38"
"テスト　","2013年02月05日13時29分18秒","2013年02月05日13時29分34秒","0","0","13"
"テスト　","2013年02月05日13時29分34秒","2013年02月05日13時29分35秒","0","0","0"
"テスト　","2013年02月05日13時29分35秒","2013年02月05日13時29分36秒","0","0","1"
"テスト　","2013年02月05日13時29分36秒","2013年02月05日13時29分38秒","0","0","2"
"ファイル操作","2013年02月05日13時29分38秒","2013年02月05日13時29分40秒","0","0","0"
"ファイル操作","2013年02月05日13時29分40秒","2013年02月05日13時29分41秒","0","0","0"
"登録外","2013年02月05日13時29分41秒","2013年02月05日13時29分42秒","0","0","2"
"テスト　","2013年02月05日13時29分42秒","2013年02月05日13時29分44秒","0","0","0"
"テスト　","2013年02月05日13時29分44秒","2013年02月05日13時29分59秒","0","0","25"
"ファイル操作","2013年02月05日13時29分59秒","2013年02月05日13時30分00秒","0","0","0"
"登録外","2013年02月05日13時30分00秒","2013年02月05日13時30分01秒","0","0","0"
"テスト　","2013年02月05日13時30分01秒","2013年02月05日13時30分03秒","0","0","0"
"テスト　","2013年02月05日13時30分05秒","2013年02月05日13時30分08秒","0","0","0"
"登録外","2013年02月05日13時30分08秒","2013年02月05日13時30分09秒","0","0","3"
"テスト　","2013年02月05日13時30分09秒","2013年02月05日13時30分30秒","0","0","0"
"テスト　","2013年02月05日13時30分30秒","2013年02月05日13時30分32秒","0","0","0"
"テスト　","2013年02月05日13時30分32秒","2013年02月05日13時30分36秒","0","0","1"
"テスト　","2013年02月05日13時30分36秒","2013年02月05日13時31分15秒","0","0","0"
"調査　","2013年02月05日13時31分15秒","2013年02月05日13時31分18秒","0","0","5"
"調査　","2013年02月05日13時31分18秒","2013年02月05日13時31分34秒","0","0","5"
"テスト　","2013年02月05日13時31分34秒","2013年02月05日13時33分14秒","0","0","43"
"調査　","2013年02月05日13時33分14秒","2013年02月05日13時33分16秒","0","0","0"
"テスト　","2013年02月05日13時33分16秒","2013年02月05日13時33分26秒","0","0","0"
"登録外","2013年02月05日13時33分26秒","2013年02月05日13時33分27秒","0","0","0"
"テスト　","2013年02月05日13時33分27秒","2013年02月05日13時33分40秒","0","0","2"
"テスト　","2013年02月05日13時33分40秒","2013年02月05日13時33分43秒","0","0","0"
"テスト　","2013年02月05日13時33分43秒","2013年02月05日13時33分51秒","0","0","2"
"テスト　","2013年02月05日13時33分51秒","2013年02月05日13時33分55秒","0","0","0"
"登録外","2013年02月05日13時33分55秒","2013年02月05日13時34分03秒","0","0","3"
"テスト　","2013年02月05日13時34分03秒","2013年02月05日13時34分12秒","0","0","0"
"テスト　","2013年02月05日13時34分12秒","2013年02月05日13時34分15秒","0","0","1"
"テスト　","2013年02月05日13時34分15秒","2013年02月05日13時35分05秒","0","0","16"
"テスト　","2013年02月05日13時35分05秒","2013年02月05日13時38分31秒","0","0","51"
"テスト　","2013年02月05日13時38分31秒","2013年02月05日13時38分37秒","0","0","0"
"テスト　","2013年02月05日13時38分37秒","2013年02月05日13時39分53秒","0","0","2"
"テスト　","2013年02月05日13時39分53秒","2013年02月05日13時39分58秒","0","0","0"
"テスト　","2013年02月05日13時39分58秒","2013年02月05日13時40分05秒","0","0","0"
"テスト　","2013年02月05日13時40分05秒","2013年02月05日13時40分08秒","0","0","2"
"テスト　","2013年02月05日13時40分08秒","2013年02月05日13時40分15秒","0","0","0"
"テスト　","2013年02月05日13時40分15秒","2013年02月05日13時40分21秒","0","0","0"
"テスト　","2013年02月05日13時40分21秒","2013年02月05日13時40分23秒","0","0","0"
"テスト　","2013年02月05日13時40分23秒","2013年02月05日13時40分36秒","0","0","0"
"テスト　","2013年02月05日13時40分36秒","2013年02月05日13時40分41秒","0","0","0"
"テスト　","2013年02月05日13時40分41秒","2013年02月05日13時40分43秒","0","0","0"
"テスト　","2013年02月05日13時40分43秒","2013年02月05日13時40分54秒","0","0","0"
"テスト　","2013年02月05日13時40分54秒","2013年02月05日13時41分01秒","0","0","9"
"テスト　","2013年02月05日13時41分01秒","2013年02月05日13時41分06秒","0","0","0"
"テスト　","2013年02月05日13時41分06秒","2013年02月05日13時41分07秒","0","0","0"
"テスト　","2013年02月05日13時41分07秒","2013年02月05日13時41分12秒","0","0","0"
"テスト　","2013年02月05日13時41分12秒","2013年02月05日13時41分16秒","0","0","10"
"テスト　","2013年02月05日13時41分16秒","2013年02月05日13時41分17秒","0","0","0"
"テスト　","2013年02月05日13時41分17秒","2013年02月05日13時41分21秒","0","0","0"
"テスト　","2013年02月05日13時41分21秒","2013年02月05日13時41分22秒","0","0","0"
"テスト　","2013年02月05日13時41分22秒","2013年02月05日13時41分26秒","0","0","0"
"テスト　","2013年02月05日13時41分26秒","2013年02月05日13時41分29秒","0","0","0"
"テスト　","2013年02月05日13時41分29秒","2013年02月05日13時41分37秒","0","0","0"
"テスト　","2013年02月05日13時41分37秒","2013年02月05日13時41分39秒","0","0","0"
"テスト　","2013年02月05日13時41分39秒","2013年02月05日13時41分51秒","0","0","0"
"テスト　","2013年02月05日13時41分51秒","2013年02月05日13時42分34秒","0","0","0"
"テスト　","2013年02月05日13時42分34秒","2013年02月05日13時42分35秒","0","0","0"
"テスト　","2013年02月05日13時42分35秒","2013年02月05日13時42分57秒","0","0","0"
"テスト　","2013年02月05日13時42分57秒","2013年02月05日13時43分03秒","0","0","0"
"テスト　","2013年02月05日13時43分03秒","2013年02月05日13時43分04秒","0","0","0"
"テスト　","2013年02月05日13時43分04秒","2013年02月05日13時43分13秒","0","0","0"
"テスト　","2013年02月05日13時43分13秒","2013年02月05日13時43分24秒","0","0","1"
"テスト　","2013年02月05日13時43分24秒","2013年02月05日13時43分33秒","0","0","0"
"テスト　","2013年02月05日13時43分33秒","2013年02月05日13時43分34秒","0","0","0"
"テスト　","2013年02月05日13時43分34秒","2013年02月05日13時43分40秒","0","0","0"
"テスト　","2013年02月05日13時43分40秒","2013年02月05日13時43分47秒","0","0","0"
"テスト　","2013年02月05日13時43分47秒","2013年02月05日13時43分56秒","0","0","1"
"テスト　","2013年02月05日13時43分56秒","2013年02月05日13時44分02秒","0","0","0"
"テスト　","2013年02月05日13時44分02秒","2013年02月05日13時44分03秒","0","0","0"
"テスト　","2013年02月05日13時44分03秒","2013年02月05日13時44分06秒","0","0","0"
"テスト　","2013年02月05日13時44分06秒","2013年02月05日13時44分07秒","0","0","0"
"テスト　","2013年02月05日13時44分07秒","2013年02月05日13時44分10秒","0","0","2"
"テスト　","2013年02月05日13時44分10秒","2013年02月05日13時45分05秒","0","0","8"
"テスト　","2013年02月05日13時45分05秒","2013年02月05日13時50分05秒","0","0","56"
"テスト　","2013年02月05日13時50分05秒","2013年02月05日13時55分05秒","0","0","51"
"テスト　","2013年02月05日13時55分05秒","2013年02月05日13時56分43秒","0","0","0"
"テスト　","2013年02月05日13時57分17秒","2013年02月05日13時59分22秒","0","0","22"
"テスト　","2013年02月05日13時59分22秒","2013年02月05日13時59分24秒","0","0","0"
"テスト　","2013年02月05日13時59分24秒","2013年02月05日13時59分25秒","0","0","0"
"テスト　","2013年02月05日13時59分25秒","2013年02月05日13時59分26秒","0","0","0"
"テスト　","2013年02月05日13時59分26秒","2013年02月05日13時59分28秒","0","0","0"
"テスト　","2013年02月05日13時59分28秒","2013年02月05日13時59分32秒","0","0","0"
"テスト　","2013年02月05日13時59分32秒","2013年02月05日13時59分36秒","0","0","3"
"テスト　","2013年02月05日13時59分36秒","2013年02月05日13時59分37秒","0","0","0"
"テスト　","2013年02月05日13時59分37秒","2013年02月05日13時59分39秒","0","0","0"
"テスト　","2013年02月05日13時59分39秒","2013年02月05日13時59分41秒","0","0","0"
"テスト　","2013年02月05日13時59分41秒","2013年02月05日13時59分47秒","0","0","3"
"テスト　","2013年02月05日13時59分47秒","2013年02月05日13時59分49秒","0","0","0"
"テスト　","2013年02月05日13時59分49秒","2013年02月05日13時59分50秒","0","0","0"
"テスト　","2013年02月05日13時59分50秒","2013年02月05日13時59分54秒","0","0","1"
"テスト　","2013年02月05日13時59分54秒","2013年02月05日13時59分55秒","0","0","0"
"テスト　","2013年02月05日13時59分55秒","2013年02月05日14時00分01秒","0","0","0"
"テスト　","2013年02月05日14時00分01秒","2013年02月05日14時00分03秒","0","0","0"
"テスト　","2013年02月05日14時00分03秒","2013年02月05日14時00分06秒","0","0","0"
"テスト　","2013年02月05日14時00分06秒","2013年02月05日14時00分18秒","0","0","0"
"テスト　","2013年02月05日14時00分18秒","2013年02月05日14時00分20秒","0","0","0"
"テスト　","2013年02月05日14時00分20秒","2013年02月05日14時00分24秒","0","0","2"
"テスト　","2013年02月05日14時00分24秒","2013年02月05日14時00分29秒","0","0","0"
"テスト　","2013年02月05日14時00分29秒","2013年02月05日14時00分31秒","0","0","0"
"テスト　","2013年02月05日14時00分31秒","2013年02月05日14時00分34秒","0","0","0"
"テスト　","2013年02月05日14時00分34秒","2013年02月05日14時00分36秒","0","0","0"
"テスト　","2013年02月05日14時00分36秒","2013年02月05日14時00分42秒","0","0","0"
"テスト　","2013年02月05日14時00分43秒","2013年02月05日14時00分54秒","0","0","1"
