"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"登録外","2013年02月05日11時30分06秒","2013年02月05日11時30分14秒","2","0","0"
"ファイル操作","2013年02月05日11時30分14秒","2013年02月05日11時30分17秒","2","0","0"
"ファイル操作","2013年02月05日11時30分17秒","2013年02月05日11時30分20秒","2","0","0"
"ファイル操作","2013年02月05日11時30分20秒","2013年02月05日11時30分21秒","2","0","0"
"エクセル","2013年02月05日11時30分21秒","2013年02月05日11時30分24秒","0","0","0"
"エクセル","2013年02月05日11時30分24秒","2013年02月05日11時30分26秒","0","0","0"
"エクセル","2013年02月05日11時30分26秒","2013年02月05日11時30分29秒","0","0","0"
"登録外","2013年02月05日11時30分29秒","2013年02月05日11時30分34秒","0","0","0"
"エクセル","2013年02月05日11時30分34秒","2013年02月05日11時31分02秒","1","0","73"
"登録外","2013年02月05日11時31分02秒","2013年02月05日11時31分10秒","0","0","0"
"エクセル","2013年02月05日11時31分10秒","2013年02月05日11時31分27秒","1","0","0"
"ブラウザ","2013年02月05日11時31分27秒","2013年02月05日11時31分28秒","1","0","0"
"ブラウザ","2013年02月05日11時31分28秒","2013年02月05日11時31分30秒","1","0","0"
"ブラウザ","2013年02月05日11時31分30秒","2013年02月05日11時31分39秒","1","0","0"
"ブラウザ","2013年02月05日11時31分39秒","2013年02月05日11時31分50秒","2","0","0"
"ブラウザ","2013年02月05日11時31分50秒","2013年02月05日11時32分06秒","1","0","0"
"ブラウザ","2013年02月05日11時32分06秒","2013年02月05日11時32分07秒","1","0","0"
"エクセル","2013年02月05日11時32分07秒","2013年02月05日11時32分14秒","2","0","0"
"エクセル","2013年02月05日11時32分14秒","2013年02月05日11時32分32秒","1","0","0"
"ブラウザ","2013年02月05日11時32分32秒","2013年02月05日11時32分34秒","1","0","0"
"ブラウザ","2013年02月05日11時32分34秒","2013年02月05日11時33分05秒","1","0","0"
"エクセル","2013年02月05日11時33分05秒","2013年02月05日11時33分29秒","2","0","0"
"ブラウザ","2013年02月05日11時33分29秒","2013年02月05日11時33分41秒","1","0","0"
"ブラウザ","2013年02月05日11時33分41秒","2013年02月05日11時33分43秒","1","0","0"
"ブラウザ","2013年02月05日11時33分43秒","2013年02月05日11時33分45秒","1","0","0"
"ブラウザ","2013年02月05日11時33分45秒","2013年02月05日11時34分33秒","1","0","0"
"ブラウザ","2013年02月05日11時34分33秒","2013年02月05日11時34分34秒","0","0","0"
"ブラウザ","2013年02月05日11時34分34秒","2013年02月05日11時34分36秒","1","1","0"
"ファイル操作","2013年02月05日11時34分36秒","2013年02月05日11時34分42秒","4","0","2"
"ブラウザ","2013年02月05日11時34分42秒","2013年02月05日11時34分43秒","1","0","0"
"ブラウザ","2013年02月05日11時34分43秒","2013年02月05日11時34分45秒","1","0","0"
"ファイル操作","2013年02月05日11時34分46秒","2013年02月05日11時34分47秒","2","0","0"
"ファイル操作","2013年02月05日11時34分47秒","2013年02月05日11時34分49秒","1","0","0"
"ファイル操作","2013年02月05日11時34分49秒","2013年02月05日11時34分51秒","2","0","0"
"ファイル操作","2013年02月05日11時34分51秒","2013年02月05日11時34分56秒","2","0","0"
"ファイル操作","2013年02月05日11時34分56秒","2013年02月05日11時35分00秒","2","0","0"
"ファイル操作","2013年02月05日11時35分00秒","2013年02月05日11時35分01秒","0","0","0"
"エクセル","2013年02月05日11時35分01秒","2013年02月05日11時35分16秒","4","0","19"
"エクセル","2013年02月05日11時35分16秒","2013年02月05日11時35分17秒","1","0","0"
"ファイル操作","2013年02月05日11時35分17秒","2013年02月05日11時35分19秒","2","0","0"
"ブラウザ","2013年02月05日11時35分19秒","2013年02月05日11時35分21秒","1","0","0"
"ブラウザ","2013年02月05日11時35分21秒","2013年02月05日11時35分22秒","1","0","0"
"ブラウザ","2013年02月05日11時35分22秒","2013年02月05日11時35分26秒","2","0","0"
"ブラウザ","2013年02月05日11時35分26秒","2013年02月05日11時36分04秒","5","0","38"
"ブラウザ","2013年02月05日11時36分04秒","2013年02月05日11時38分13秒","8","0","354"
"ブラウザ","2013年02月05日11時38分13秒","2013年02月05日11時38分15秒","1","0","0"
"ブラウザ","2013年02月05日11時38分15秒","2013年02月05日11時38分25秒","1","0","0"
"ブラウザ","2013年02月05日11時38分25秒","2013年02月05日11時38分47秒","3","0","0"
"テスト　","2013年02月05日11時38分47秒","2013年02月05日11時38分51秒","1","0","0"
"登録外","2013年02月05日11時38分51秒","2013年02月05日11時39分03秒","5","0","0"
"エクセル","2013年02月05日11時39分03秒","2013年02月05日11時39分35秒","4","0","0"
"メール","2013年02月05日11時39分35秒","2013年02月05日11時39分54秒","7","0","0"
"メール","2013年02月05日11時39分54秒","2013年02月05日11時40分00秒","1","0","0"
"メール","2013年02月05日11時40分00秒","2013年02月05日11時40分05秒","1","0","0"
"メール","2013年02月05日11時40分05秒","2013年02月05日11時40分16秒","2","0","0"
"メール","2013年02月05日11時40分16秒","2013年02月05日11時40分25秒","3","0","4"
"ファイル操作","2013年02月05日11時40分25秒","2013年02月05日11時40分26秒","1","0","0"
"登録外","2013年02月05日11時40分26秒","2013年02月05日11時40分30秒","0","0","3"
"登録外","2013年02月05日11時40分30秒","2013年02月05日11時40分31秒","0","0","0"
"ファイル操作","2013年02月05日11時40分31秒","2013年02月05日11時40分33秒","2","0","0"
"エクセル","2013年02月05日11時40分34秒","2013年02月05日11時41分12秒","11","0","0"
"ブラウザ","2013年02月05日11時41分12秒","2013年02月05日11時41分13秒","1","0","0"
"メール","2013年02月05日11時41分13秒","2013年02月05日11時41分22秒","3","0","0"
"エクセル","2013年02月05日11時41分22秒","2013年02月05日11時42分13秒","2","0","103"
"エクセル","2013年02月05日11時42分13秒","2013年02月05日11時42分16秒","2","0","0"
"メール","2013年02月05日11時42分16秒","2013年02月05日11時42分19秒","2","0","0"
"メール","2013年02月05日11時42分19秒","2013年02月05日11時42分27秒","8","0","0"
"エクセル","2013年02月05日11時42分27秒","2013年02月05日11時42分28秒","1","0","0"
"ブラウザ","2013年02月05日11時42分28秒","2013年02月05日11時42分33秒","1","0","0"
"ブラウザ","2013年02月05日11時42分33秒","2013年02月05日11時42分37秒","1","0","0"
"ブラウザ","2013年02月05日11時42分37秒","2013年02月05日11時42分42秒","1","0","0"
"ブラウザ","2013年02月05日11時42分42秒","2013年02月05日11時42分46秒","1","0","0"
"エクセル","2013年02月05日11時42分46秒","2013年02月05日11時43分37秒","4","0","0"
"エクセル","2013年02月05日11時43分37秒","2013年02月05日11時44分43秒","16","0","18"
"テスト　","2013年02月05日11時44分43秒","2013年02月05日11時45分00秒","3","0","0"
"テスト　","2013年02月05日11時45分00秒","2013年02月05日11時45分04秒","1","0","0"
"エクセル","2013年02月05日11時45分04秒","2013年02月05日11時45分08秒","1","0","0"
"テスト　","2013年02月05日11時45分08秒","2013年02月05日11時45分16秒","1","0","0"
"ＳＱＬサーバ　","2013年02月05日11時45分16秒","2013年02月05日11時45分48秒","10","1","20"
"テスト　","2013年02月05日11時45分48秒","2013年02月05日11時45分52秒","2","1","0"
"テスト　","2013年02月05日11時45分52秒","2013年02月05日11時45分53秒","1","0","2"
"テスト　","2013年02月05日11時45分53秒","2013年02月05日11時45分57秒","1","0","0"
