"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時35分","53","0","0"
"2013年02月05日11時40分","90","0","0"
"2013年02月05日11時45分","63","0","0"
"2013年02月05日11時50分","86","0","0"
"2013年02月05日11時55分","26","0","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","0","0","0"
"2013年02月05日12時15分","0","0","0"
"2013年02月05日12時20分","0","0","0"
"2013年02月05日12時25分","0","0","0"
"2013年02月05日12時40分","14","0","0"
"2013年02月05日12時45分","46","0","0"
"2013年02月05日12時50分","82","0","0"
"2013年02月05日12時55分","22","0","0"
"2013年02月05日13時00分","126","0","0"
"2013年02月05日13時05分","115","0","0"
"2013年02月05日13時10分","62","0","0"
"2013年02月05日13時15分","79","0","0"
"2013年02月05日13時20分","58","0","0"
"2013年02月05日13時25分","22","0","0"
"2013年02月05日13時30分","20","0","0"
"2013年02月05日13時35分","35","0","0"
"2013年02月05日13時40分","43","0","0"
"2013年02月05日13時45分","57","0","0"
"2013年02月05日13時50分","6","0","0"
"2013年02月05日13時55分","57","0","0"
"2013年02月05日14時00分","64","0","0"
"2013年02月05日14時05分","84","0","0"
"2013年02月05日14時10分","79","0","0"
"2013年02月05日14時15分","60","0","0"
"2013年02月05日14時20分","128","0","0"
"2013年02月05日14時25分","0","0","0"
"2013年02月05日14時30分","200","0","0"
"2013年02月05日14時35分","193","0","0"
"2013年02月05日14時40分","40","0","0"
"2013年02月05日14時45分","389","0","0"
"2013年02月05日14時50分","114","0","0"
"2013年02月05日14時55分","265","0","0"
"2013年02月05日15時00分","387","0","0"
"2013年02月05日15時05分","20","0","0"
"2013年02月05日15時10分","176","0","0"
"2013年02月05日15時15分","77","0","0"
"2013年02月05日15時20分","49","0","0"
"2013年02月05日15時25分","208","0","0"
"2013年02月05日15時30分","93","0","0"
"2013年02月05日15時35分","34","0","0"
"2013年02月05日15時40分","3","0","0"
"2013年02月05日15時45分","4","0","0"
"2013年02月05日15時50分","392","0","0"
"2013年02月05日15時55分","144","0","0"
"2013年02月05日16時00分","116","0","0"
"2013年02月05日16時05分","17","0","0"
"2013年02月05日16時10分","32","0","0"
"2013年02月05日16時15分","80","0","0"
"2013年02月06日09時30分","344","99","1"
"2013年02月06日09時35分","289","17","0"
"2013年02月06日09時40分","342","79","0"
"2013年02月06日09時45分","315","56","0"
"2013年02月06日09時50分","86","25","0"
"2013年02月06日09時55分","60","43","0"
"2013年02月06日10時00分","61","37","0"
"2013年02月06日10時05分","262","35","0"
"2013年02月06日10時10分","11","62","0"
"2013年02月06日10時15分","37","71","1"
"2013年02月06日10時20分","59","53","1"
"2013年02月06日10時25分","22","64","0"
"2013年02月06日10時30分","168","71","0"
"2013年02月06日10時35分","130","58","0"
"2013年02月06日10時40分","198","10","0"
"2013年02月06日10時45分","292","30","0"
"2013年02月06日10時50分","318","48","0"
"2013年02月06日10時55分","216","26","0"
"2013年02月06日11時00分","609","26","0"
"2013年02月06日11時05分","28","9","0"
"2013年02月06日11時10分","315","48","2"
"2013年02月06日11時15分","139","93","3"
"2013年02月06日11時20分","89","114","0"
"2013年02月06日11時25分","194","36","0"
"2013年02月06日11時30分","156","92","0"
"2013年02月06日11時35分","229","56","0"
"2013年02月06日11時40分","49","43","0"
"2013年02月06日11時45分","0","0","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
"2013年02月06日12時05分","0","0","0"
"2013年02月06日12時10分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","11","0"
"2013年02月06日13時05分","2","18","0"
"2013年02月06日13時10分","27","74","0"
"2013年02月06日13時15分","0","0","0"
"2013年02月06日13時20分","38","27","0"
"2013年02月06日13時25分","218","88","2"
"2013年02月06日13時30分","427","55","1"
"2013年02月06日13時35分","397","9","1"
"2013年02月06日13時40分","348","48","0"
"2013年02月06日13時45分","422","45","0"
"2013年02月06日13時50分","225","54","0"
"2013年02月06日13時55分","339","53","0"
"2013年02月06日14時00分","260","35","0"
"2013年02月06日14時05分","119","37","0"
"2013年02月06日14時10分","281","29","0"
"2013年02月06日14時15分","75","60","3"
"2013年02月06日14時20分","123","59","0"
"2013年02月06日14時25分","46","28","0"
"2013年02月06日14時30分","696","12","0"
"2013年02月06日14時35分","166","27","0"
"2013年02月06日14時40分","168","85","2"
"2013年02月06日14時45分","607","35","0"
"2013年02月06日14時50分","228","24","0"
"2013年02月06日14時55分","86","42","0"
"2013年02月06日15時00分","390","24","0"
"2013年02月06日15時05分","62","32","5"
"2013年02月06日15時10分","175","32","1"
"2013年02月06日15時15分","151","52","0"
"2013年02月06日15時20分","0","0","0"
"2013年02月06日15時25分","163","36","0"
"2013年02月06日15時30分","388","36","1"
"2013年02月06日15時35分","440","43","0"
"2013年02月06日15時40分","100","89","0"
"2013年02月06日15時45分","245","87","0"
"2013年02月06日15時50分","231","36","0"
"2013年02月06日15時55分","248","70","0"
"2013年02月06日16時00分","173","36","0"
"2013年02月06日16時05分","297","61","0"
"2013年02月06日16時10分","273","78","0"
"2013年02月06日16時15分","237","39","0"
"2013年02月06日16時20分","0","6","0"
"2013年02月06日16時25分","28","61","0"
"2013年02月07日10時50分","42","0","0"
