"","打鍵回数","左クリック","右クリック"
"2013年02月06日09時25分","52","156","5"
"2013年02月06日09時30分","77","152","7"
"2013年02月06日09時35分","26","175","14"
"2013年02月06日09時40分","29","130","12"
"2013年02月06日09時45分","100","82","3"
"2013年02月06日09時50分","18","93","4"
"2013年02月06日09時55分","36","107","3"
"2013年02月06日10時00分","271","110","0"
"2013年02月06日10時05分","150","38","3"
"2013年02月06日10時10分","106","81","1"
"2013年02月06日10時15分","92","76","3"
"2013年02月06日10時20分","243","127","3"
"2013年02月06日10時25分","182","100","4"
"2013年02月06日10時30分","134","112","1"
"2013年02月06日10時35分","58","104","4"
"2013年02月06日10時40分","23","64","0"
"2013年02月06日10時45分","4","59","0"
"2013年02月06日10時50分","103","41","1"
"2013年02月06日10時55分","31","73","1"
"2013年02月06日11時00分","38","61","1"
"2013年02月06日11時05分","18","47","2"
"2013年02月06日11時10分","6","10","0"
"2013年02月06日11時15分","0","0","0"
"2013年02月06日11時20分","101","59","3"
"2013年02月06日11時25分","305","135","3"
"2013年02月06日11時30分","340","159","3"
"2013年02月06日11時35分","14","88","1"
"2013年02月06日11時40分","83","92","4"
"2013年02月06日11時45分","64","184","3"
"2013年02月06日11時50分","7","93","0"
"2013年02月06日11時55分","0","81","0"
"2013年02月06日12時00分","79","77","0"
"2013年02月06日12時05分","8","35","0"
"2013年02月06日12時10分","27","65","0"
"2013年02月06日12時15分","61","147","2"
"2013年02月06日12時20分","65","132","1"
"2013年02月06日12時25分","39","45","1"
"2013年02月06日12時30分","140","96","1"
"2013年02月06日12時35分","59","66","0"
"2013年02月06日12時40分","30","12","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","0","0","0"
"2013年02月06日13時10分","0","0","0"
"2013年02月06日13時15分","0","0","0"
"2013年02月06日13時20分","0","0","0"
"2013年02月06日13時25分","0","0","0"
"2013年02月06日13時30分","0","0","0"
"2013年02月06日13時35分","0","0","0"
"2013年02月06日13時40分","0","0","0"
"2013年02月06日13時45分","0","0","0"
"2013年02月06日13時50分","0","4","0"
"2013年02月06日13時55分","12","23","2"
"2013年02月06日14時00分","0","7","0"
"2013年02月06日14時05分","0","14","0"
"2013年02月06日14時10分","0","35","0"
"2013年02月06日14時15分","37","102","0"
"2013年02月06日14時20分","53","98","2"
"2013年02月06日14時25分","180","105","4"
"2013年02月06日14時30分","180","122","0"
"2013年02月06日14時35分","191","7","0"
"2013年02月06日14時40分","0","9","1"
"2013年02月06日14時45分","12","98","1"
"2013年02月06日14時50分","91","104","3"
"2013年02月06日14時55分","174","156","4"
"2013年02月06日15時00分","414","103","0"
"2013年02月06日15時05分","164","145","0"
"2013年02月06日15時10分","218","116","3"
"2013年02月06日15時15分","104","97","0"
"2013年02月06日15時20分","231","61","0"
"2013年02月06日15時25分","100","80","0"
"2013年02月06日15時30分","221","125","0"
"2013年02月06日15時35分","37","63","8"
"2013年02月06日15時40分","0","14","0"
"2013年02月06日15時45分","0","0","0"
"2013年02月06日15時50分","2","42","2"
"2013年02月06日15時55分","108","115","3"
"2013年02月06日16時00分","86","128","9"
"2013年02月06日16時05分","327","44","0"
"2013年02月06日16時10分","559","38","0"
"2013年02月06日16時15分","354","34","0"
"2013年02月06日16時20分","165","80","0"
"2013年02月06日16時25分","246","193","0"
"2013年02月06日16時30分","97","76","0"
"2013年02月06日16時35分","14","41","0"
"2013年02月06日16時40分","21","30","0"
"2013年02月06日16時45分","78","66","2"
"2013年02月06日16時50分","345","155","0"
"2013年02月06日16時55分","41","59","0"
"2013年02月06日17時00分","127","46","2"
"2013年02月06日17時05分","151","85","0"
"2013年02月06日17時10分","140","78","0"
"2013年02月06日17時15分","94","81","0"
"2013年02月06日17時20分","93","112","0"
"2013年02月06日17時25分","53","89","0"
"2013年02月06日17時30分","73","34","0"
"2013年02月06日17時35分","34","61","0"
"2013年02月06日17時40分","0","0","0"
"2013年02月06日17時45分","0","9","0"
"2013年02月06日17時50分","139","51","1"
"2013年02月06日17時55分","468","67","0"
"2013年02月06日18時00分","217","79","0"
"2013年02月06日18時05分","42","19","0"
"2013年02月06日18時10分","38","35","0"
"2013年02月06日18時15分","76","65","0"
"2013年02月06日18時20分","66","82","0"
"2013年02月06日18時25分","3","17","0"
"2013年02月06日18時30分","54","32","2"
"2013年02月06日18時35分","163","76","1"
