"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧　","調査　","SQLサーバ　","テスト　","プログラミング・デバッグ　","登録外"
"2013年02月04日14時10分","49","0","0","0","0","0","27","71","0","0","0","5","0","45"
"2013年02月04日14時15分","0","0","0","0","0","0","7","49","0","242","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0","12","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","29","0","268","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","23","16","0","257","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","8","15","0","275","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","134","27","0","136","0","0","0","0"
"2013年02月04日14時50分","0","0","0","0","0","0","0","72","0","150","0","0","0","72"
"2013年02月04日14時55分","0","0","0","0","0","0","0","149","0","0","0","0","0","149"
"2013年02月04日15時00分","0","0","28","0","0","0","0","0","0","0","0","0","0","268"
"2013年02月04日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","222"
"2013年02月04日15時10分","0","0","11","0","0","0","0","17","0","0","0","0","0","213"
"2013年02月04日15時15分","0","0","12","0","0","0","0","0","0","0","0","0","0","285"
"2013年02月04日15時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月04日15時30分","0","18","0","0","0","0","0","0","0","0","0","0","0","279"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月04日15時45分","0","0","0","0","0","0","0","23","0","10","0","0","0","265"
"2013年02月04日15時50分","0","1","3","0","0","0","0","126","0","163","0","0","0","2"
"2013年02月04日15時55分","0","0","0","0","0","0","0","8","0","18","0","0","0","272"
"2013年02月04日16時00分","0","0","0","0","0","0","0","7","0","171","0","0","0","118"
"2013年02月04日16時05分","0","11","0","0","0","0","0","0","0","0","0","0","0","288"
"2013年02月04日16時10分","0","36","0","0","0","0","86","53","0","86","0","0","0","33"
"2013年02月04日16時15分","0","0","0","0","0","0","100","10","0","25","0","0","0","162"
"2013年02月04日16時20分","0","0","0","0","0","0","210","6","0","80","0","0","0","0"
"2013年02月04日16時25分","0","0","0","0","0","0","44","29","0","85","0","0","0","138"
"2013年02月04日16時30分","0","0","0","0","0","0","59","12","0","127","0","0","0","96"
"2013年02月04日16時35分","0","223","11","0","0","0","11","0","0","19","0","0","0","33"
"2013年02月04日16時40分","0","264","0","0","0","0","0","0","0","0","0","0","0","32"
"2013年02月04日16時45分","0","277","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","113","0","0","0","0","45","7","0","26","0","0","0","78"
"2013年02月04日16時55分","0","0","0","0","0","0","61","74","0","106","0","0","0","53"
"2013年02月04日17時00分","0","17","0","0","0","0","92","43","0","86","0","0","0","2"
"2013年02月04日17時05分","0","0","0","0","0","0","0","0","0","7","0","187","0","63"
"2013年02月04日17時10分","0","0","0","0","0","0","26","1","0","40","0","63","0","165"
"2013年02月04日17時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","287"
"2013年02月04日17時20分","0","0","0","0","0","0","0","72","0","0","0","18","0","171"
"2013年02月04日17時25分","0","0","0","0","0","0","0","82","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
