"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時35分","170","129","1"
"2013年02月05日11時40分","411","47","0"
"2013年02月05日11時45分","128","66","0"
"2013年02月05日11時50分","70","74","5"
"2013年02月05日11時55分","4","3","0"
"2013年02月05日12時00分","0","0","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","0","0","0"
"2013年02月05日12時15分","0","0","0"
"2013年02月05日12時20分","0","0","0"
"2013年02月05日12時25分","0","0","0"
"2013年02月05日12時30分","0","0","0"
"2013年02月05日12時35分","0","0","0"
"2013年02月05日12時40分","13","10","0"
"2013年02月05日12時45分","12","43","0"
"2013年02月05日12時50分","121","33","1"
"2013年02月05日12時55分","158","0","0"
"2013年02月05日13時00分","13","0","0"
"2013年02月05日13時05分","74","0","0"
"2013年02月05日13時10分","107","0","0"
"2013年02月05日13時15分","67","0","0"
"2013年02月05日13時20分","213","0","0"
"2013年02月05日13時25分","33","0","0"
"2013年02月05日13時30分","62","0","0"
"2013年02月05日13時35分","1","0","0"
"2013年02月05日13時40分","44","0","0"
"2013年02月05日13時45分","2","0","0"
"2013年02月05日13時50分","17","0","0"
"2013年02月05日13時55分","1","0","0"
"2013年02月05日14時00分","86","0","0"
"2013年02月05日14時05分","65","0","0"
"2013年02月05日14時10分","131","0","0"
"2013年02月05日14時15分","7","0","0"
"2013年02月05日14時20分","0","0","0"
"2013年02月05日14時25分","84","0","0"
"2013年02月05日14時30分","211","0","0"
"2013年02月05日14時35分","28","0","0"
"2013年02月05日14時40分","57","0","0"
"2013年02月05日14時45分","207","0","0"
"2013年02月05日14時50分","173","0","0"
"2013年02月05日14時55分","0","0","0"
"2013年02月05日15時00分","71","0","0"
"2013年02月05日15時05分","197","0","0"
"2013年02月05日15時10分","105","0","0"
"2013年02月05日15時15分","139","0","0"
"2013年02月05日15時20分","5","0","0"
"2013年02月05日15時25分","52","0","0"
"2013年02月05日15時30分","111","0","0"
"2013年02月05日15時35分","291","0","0"
"2013年02月05日15時40分","13","0","0"
"2013年02月05日15時45分","152","0","0"
"2013年02月05日15時50分","0","0","0"
"2013年02月05日15時55分","4","0","0"
"2013年02月05日16時00分","0","0","0"
"2013年02月05日16時05分","29","0","0"
"2013年02月05日16時10分","31","0","0"
"2013年02月05日16時15分","0","0","0"
"2013年02月05日16時20分","2","0","0"
"2013年02月05日16時25分","49","0","0"
"2013年02月05日16時30分","0","0","0"
"2013年02月05日16時35分","64","0","0"
"2013年02月05日16時40分","67","0","0"
"2013年02月05日16時45分","50","0","0"
"2013年02月05日16時50分","13","0","0"
"2013年02月05日16時55分","49","0","0"
"2013年02月05日17時00分","50","0","0"
"2013年02月05日17時05分","2","0","0"
"2013年02月05日17時10分","10","0","0"
"2013年02月05日17時15分","0","0","0"
"2013年02月05日17時20分","0","0","0"
"2013年02月05日17時25分","35","0","0"
"2013年02月05日17時30分","84","0","0"
"2013年02月05日17時35分","108","0","0"
"2013年02月05日17時40分","56","0","0"
"2013年02月05日17時45分","245","0","0"
"2013年02月05日17時50分","356","0","0"
"2013年02月05日17時55分","99","0","0"
"2013年02月05日18時00分","0","0","0"
"2013年02月05日18時05分","4","0","0"
"2013年02月05日18時10分","0","0","0"
"2013年02月05日18時15分","37","0","0"
"2013年02月05日18時20分","0","0","0"
