"","TaskPit","ブラウザ","メール","プログラミング","テキスト閲覧・編集","プレゼン編集","データ分析","ファイル操作","ネットワーク","マルチメディア","登録外"
"2013年02月04日23時30分","0","0","0","0","0","0","84","84","0","0","62"
"2013年02月04日23時35分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月04日23時40分","0","0","0","0","0","0","166","20","0","0","113"
"2013年02月05日10時10分","0","0","0","0","0","0","238","4","0","0","4"
"2013年02月05日10時15分","0","0","0","0","0","0","0","75","0","0","116"
"2013年02月05日10時20分","0","0","0","0","0","0","0","194","0","0","37"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時30分","0","0","0","0","0","0","0","48","0","0","0"
"2013年02月05日10時35分","0","0","0","0","0","0","112","141","0","0","0"
"2013年02月05日10時40分","0","0","0","0","0","0","64","0","0","0","0"
"2013年02月05日10時45分","0","0","0","0","0","0","150","51","0","0","70"
"2013年02月05日10時50分","0","0","0","0","0","0","128","159","0","0","0"
"2013年02月05日10時55分","0","0","0","0","0","0","0","21","0","0","0"
"2013年02月05日11時00分","0","0","0","0","0","0","3","76","0","0","0"
"2013年02月05日11時05分","0","0","0","0","0","0","0","105","0","0","0"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時35分","0","0","0","0","0","0","0","2","0","0","220"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","29"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","0","0","86"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","95"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","117","22","0","0","7"
"2013年02月05日12時20分","0","0","0","0","0","0","77","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","1","10","0","0","81"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","0","0","110"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","4","0","0","203"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","253"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","184"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","226"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","10","0","0","206"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","208"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","0","183"
"2013年02月05日15時15分","0","0","0","0","0","0","21","52","0","0","15"
"2013年02月05日15時20分","0","0","0","0","0","0","0","0","0","0","180"
"2013年02月05日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時30分","0","0","0","0","0","0","0","0","0","0","178"
"2013年02月05日15時35分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日15時40分","0","0","0","0","0","0","0","3","0","0","1"
"2013年02月05日15時45分","0","0","0","0","0","0","262","5","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","112","17","0","0","166"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","0","0","17"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時10分","0","0","0","0","0","0","0","0","0","0","45"
"2013年02月05日16時15分","0","0","0","0","0","0","0","0","0","0","146"
"2013年02月05日16時20分","0","0","0","0","0","0","0","17","0","0","13"
"2013年02月05日16時25分","0","0","0","0","0","0","185","7","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","4","2","0","0","45"
