"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時30分","22","79","5"
"2013年02月05日11時35分","73","134","3"
"2013年02月05日11時40分","5","133","2"
"2013年02月05日11時45分","40","126","4"
"2013年02月05日11時50分","46","113","2"
"2013年02月05日11時55分","32","95","4"
"2013年02月05日12時00分","20","82","4"
"2013年02月05日12時05分","13","112","2"
"2013年02月05日12時10分","0","31","1"
"2013年02月05日12時15分","0","23","0"
"2013年02月05日12時20分","48","132","7"
"2013年02月05日12時25分","48","81","17"
"2013年02月05日12時30分","69","58","5"
"2013年02月05日12時35分","28","82","7"
"2013年02月05日12時40分","59","85","3"
"2013年02月05日12時45分","58","58","0"
"2013年02月05日12時50分","3","24","0"
"2013年02月05日12時55分","0","0","0"
"2013年02月05日13時00分","0","0","0"
"2013年02月05日13時05分","0","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時40分","0","2","0"
"2013年02月05日13時45分","21","74","0"
"2013年02月05日13時50分","60","65","5"
"2013年02月05日13時55分","33","59","0"
"2013年02月05日14時00分","44","118","0"
"2013年02月05日14時05分","11","0","0"
"2013年02月05日14時10分","35","0","0"
"2013年02月05日14時15分","12","0","0"
"2013年02月05日14時20分","18","0","0"
"2013年02月05日14時25分","69","0","0"
"2013年02月05日14時30分","98","0","0"
"2013年02月05日14時35分","76","0","0"
"2013年02月05日14時40分","9","0","0"
"2013年02月05日14時45分","5","0","0"
"2013年02月05日14時50分","28","0","0"
"2013年02月05日14時55分","10","0","0"
"2013年02月05日15時00分","4","0","0"
"2013年02月05日15時05分","33","0","0"
"2013年02月05日15時10分","30","0","0"
"2013年02月05日15時15分","2","0","0"
"2013年02月05日15時20分","102","0","0"
"2013年02月05日15時25分","28","0","0"
"2013年02月05日15時30分","32","0","0"
"2013年02月05日15時35分","41","0","0"
"2013年02月05日15時40分","39","0","0"
"2013年02月05日15時45分","5","0","0"
"2013年02月05日15時50分","27","0","0"
"2013年02月05日15時55分","45","0","0"
"2013年02月05日16時00分","38","0","0"
"2013年02月05日16時05分","89","0","0"
"2013年02月05日16時10分","27","0","0"
"2013年02月05日16時15分","65","0","0"
"2013年02月05日16時20分","69","0","0"
"2013年02月05日16時25分","28","0","0"
"2013年02月05日16時30分","77","0","0"
"2013年02月05日16時35分","36","0","0"
"2013年02月05日16時40分","93","0","0"
"2013年02月05日16時45分","127","0","0"
"2013年02月05日16時50分","8","0","0"
"2013年02月05日16時55分","69","0","0"
"2013年02月05日17時00分","284","0","0"
"2013年02月05日17時05分","169","0","0"
"2013年02月05日17時10分","111","0","0"
"2013年02月05日17時15分","13","0","0"
"2013年02月05日17時20分","84","0","0"
"2013年02月05日17時25分","126","0","0"
"2013年02月05日17時30分","141","0","0"
"2013年02月05日17時35分","133","0","0"
"2013年02月05日17時40分","116","0","0"
"2013年02月05日17時45分","66","0","0"
"2013年02月05日17時50分","184","0","0"
"2013年02月05日17時55分","49","0","0"
"2013年02月05日18時00分","29","0","0"
"2013年02月05日18時05分","88","0","0"
"2013年02月05日18時10分","196","0","0"
"2013年02月05日18時15分","13","0","0"
"2013年02月05日18時20分","27","0","0"
"2013年02月05日18時25分","52","0","0"
"2013年02月05日18時30分","23","0","0"
"2013年02月05日18時35分","24","0","0"
"2013年02月05日18時40分","2","0","0"
"2013年02月05日18時45分","17","0","0"
"2013年02月05日18時50分","35","0","0"
"2013年02月05日18時55分","31","0","0"
"2013年02月05日19時00分","16","0","0"
"2013年02月05日19時05分","17","0","0"
"2013年02月05日19時10分","142","0","0"
"2013年02月05日19時15分","94","0","0"
"2013年02月05日19時20分","45","0","0"
"2013年02月05日19時25分","57","0","0"
"2013年02月05日19時30分","50","0","0"
"2013年02月05日19時35分","157","0","0"
"2013年02月05日19時40分","142","0","0"
"2013年02月05日19時45分","90","0","0"
"2013年02月05日19時50分","102","0","0"
"2013年02月05日19時55分","81","0","0"
"2013年02月05日20時00分","91","0","0"
"2013年02月05日20時05分","63","0","0"
"2013年02月05日20時10分","85","0","0"
"2013年02月05日20時15分","132","0","0"
"2013年02月05日20時20分","65","0","0"
"2013年02月05日20時25分","115","0","0"
"2013年02月07日09時00分","30","53","1"
"2013年02月07日09時05分","57","61","5"
"2013年02月07日09時10分","73","86","3"
"2013年02月07日09時15分","65","46","3"
"2013年02月07日09時20分","58","56","7"
"2013年02月07日09時25分","25","74","0"
"2013年02月07日09時30分","62","62","1"
"2013年02月07日09時35分","45","73","0"
"2013年02月07日09時40分","109","74","0"
"2013年02月07日09時45分","68","104","0"
"2013年02月07日09時50分","141","60","7"
"2013年02月07日09時55分","21","80","1"
"2013年02月07日10時00分","118","36","7"
"2013年02月07日10時05分","69","51","3"
"2013年02月07日10時10分","118","33","3"
"2013年02月07日10時15分","23","96","6"
"2013年02月07日10時20分","15","26","0"
"2013年02月07日10時25分","114","64","3"
"2013年02月07日10時30分","95","79","10"
"2013年02月07日10時35分","56","33","5"
"2013年02月07日10時40分","76","50","10"
"2013年02月07日10時45分","150","92","4"
"2013年02月07日10時50分","56","44","2"
"2013年02月07日10時55分","56","80","0"
"2013年02月07日11時00分","41","54","1"
"2013年02月07日11時05分","71","30","3"
"2013年02月07日11時10分","50","57","7"
"2013年02月07日11時15分","72","83","5"
"2013年02月07日11時20分","61","58","3"
"2013年02月07日11時25分","148","97","3"
"2013年02月07日11時30分","82","87","3"
"2013年02月07日11時35分","93","153","10"
"2013年02月07日11時40分","64","184","1"
"2013年02月07日11時45分","49","127","0"
"2013年02月07日11時50分","27","148","2"
"2013年02月07日11時55分","54","76","8"
"2013年02月07日12時00分","29","64","3"
"2013年02月07日12時05分","37","84","3"
"2013年02月07日12時10分","27","75","3"
"2013年02月07日12時15分","32","71","0"
"2013年02月07日12時20分","67","78","0"
"2013年02月07日12時25分","38","92","4"
"2013年02月07日12時30分","65","60","3"
"2013年02月07日12時35分","113","54","0"
"2013年02月07日12時40分","66","75","5"
"2013年02月07日12時45分","18","61","0"
"2013年02月07日12時50分","58","43","0"
"2013年02月07日12時55分","41","45","3"
"2013年02月07日13時00分","0","0","0"
"2013年02月07日13時05分","0","0","0"
"2013年02月07日13時10分","0","0","0"
"2013年02月07日13時15分","0","0","0"
"2013年02月07日13時20分","0","0","0"
"2013年02月07日13時50分","0","0","0"
