"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月08日10時40分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月08日10時45分","0","0","0","0","0","7","0","0","20","0","9"
"2013年02月08日10時50分","0","0","2","0","0","23","0","0","8","0","10"
"2013年02月08日10時55分","0","0","0","0","0","0","0","0","30","0","0"
"2013年02月08日11時00分","4","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時05分","0","10","1","0","0","0","0","0","0","0","0"
"2013年02月08日11時10分","0","0","0","0","0","0","0","0","1","0","1"
"2013年02月08日11時15分","1","0","0","0","0","0","0","0","15","0","0"
"2013年02月08日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時25分","12","0","0","0","0","0","0","0","6","0","0"
"2013年02月08日11時30分","1","0","0","0","0","3","0","0","0","0","0"
"2013年02月08日11時35分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月08日11時40分","3","0","0","0","0","0","0","0","2","0","0"
"2013年02月08日11時45分","16","0","1","0","0","0","0","0","0","0","0"
"2013年02月08日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時55分","1","0","0","0","0","0","0","0","2","0","2"
"2013年02月08日12時00分","0","0","0","4","0","0","0","0","6","0","0"
"2013年02月08日12時05分","0","473","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時10分","0","462","0","2","0","0","0","0","0","0","0"
"2013年02月08日12時15分","0","307","0","0","0","0","0","0","2","0","0"
"2013年02月08日12時20分","0","246","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時25分","0","182","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時30分","0","115","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時40分","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月08日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時50分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時00分","0","0","0","0","0","83","0","0","0","0","0"
"2013年02月08日14時05分","0","0","7","0","0","39","0","0","0","0","0"
"2013年02月08日14時10分","0","0","0","0","0","28","0","0","0","0","0"
"2013年02月08日14時15分","0","0","0","0","0","101","0","0","0","0","0"
"2013年02月08日14時20分","0","0","11","0","0","139","0","0","0","0","0"
"2013年02月08日14時25分","129","0","0","0","0","55","0","0","0","0","0"
"2013年02月08日14時30分","360","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時35分","135","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時40分","113","0","0","0","0","53","0","0","0","0","0"
"2013年02月08日14時45分","0","0","0","0","0","262","0","0","0","0","0"
"2013年02月08日14時50分","255","0","0","0","0","83","0","0","0","0","0"
"2013年02月08日14時55分","422","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時00分","4","0","0","0","0","149","0","0","0","0","0"
"2013年02月08日15時05分","0","0","0","0","0","115","0","0","0","0","0"
"2013年02月08日15時10分","0","0","0","0","0","208","0","0","0","0","0"
"2013年02月08日15時15分","300","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時20分","279","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時25分","0","0","3","6","0","1","0","0","0","0","35"
"2013年02月08日15時30分","0","0","0","71","0","7","0","0","0","0","4"
"2013年02月08日15時35分","0","0","0","40","0","2","0","0","0","0","0"
"2013年02月08日15時40分","0","0","0","44","0","6","0","0","0","0","0"
"2013年02月08日15時45分","0","0","0","13","0","2","0","0","0","0","0"
"2013年02月08日15時50分","0","0","0","119","0","0","0","0","0","0","0"
"2013年02月08日15時55分","0","0","0","98","0","0","0","0","0","0","12"
"2013年02月08日16時00分","0","0","0","23","0","0","0","0","0","0","36"
"2013年02月08日16時05分","0","0","0","0","0","3","0","0","53","0","1"
"2013年02月08日16時10分","0","0","0","0","0","2","0","0","5","0","0"
"2013年02月08日16時15分","0","0","0","0","0","0","0","0","13","0","0"
"2013年02月08日16時20分","0","0","0","0","0","2","0","0","112","0","0"
"2013年02月08日16時25分","0","0","0","0","0","8","0","0","24","0","0"
"2013年02月08日16時30分","0","0","0","0","0","1","0","0","14","0","0"
"2013年02月08日16時35分","7","17","2","0","0","0","0","0","1","0","3"
"2013年02月08日16時40分","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月08日16時45分","8","1","0","0","0","0","0","0","30","0","0"
"2013年02月08日16時50分","2","0","0","0","0","0","0","0","12","0","0"
"2013年02月08日16時55分","0","0","1","0","0","0","0","0","1","0","1"
"2013年02月08日17時00分","79","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日17時05分","0","0","0","0","0","0","0","0","60","0","0"
"2013年02月08日17時10分","0","0","0","0","0","2","0","0","15","0","0"
"2013年02月08日17時15分","8","0","0","33","0","0","0","0","54","0","43"
"2013年02月08日17時20分","2","0","0","23","0","0","0","0","30","0","32"
"2013年02月08日17時25分","4","0","8","0","0","0","0","0","83","0","1"
"2013年02月08日17時30分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月08日17時35分","1","0","11","0","0","0","0","0","0","0","60"
"2013年02月08日17時40分","0","0","1","0","0","0","0","0","0","0","37"
"2013年02月08日17時45分","30","16","0","0","0","0","0","0","0","0","0"
"2013年02月08日17時50分","136","0","6","0","0","99","0","0","0","0","0"
"2013年02月08日17時55分","16","234","0","0","0","0","0","0","24","0","0"
"2013年02月08日18時00分","13","193","2","0","0","0","0","0","39","0","0"
"2013年02月08日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時10分","0","0","10","0","0","0","0","0","19","0","0"
"2013年02月08日18時15分","0","0","26","0","0","0","0","0","0","0","4"
"2013年02月08日18時20分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月08日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時30分","0","30","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時35分","0","305","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時40分","0","186","0","0","0","0","0","0","6","0","0"
"2013年02月08日18時45分","0","197","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時50分","0","101","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時15分","0","29","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時20分","0","0","0","0","0","0","151","0","0","0","0"
"2013年02月08日19時25分","0","0","0","0","0","0","287","0","0","0","0"
"2013年02月08日19時30分","0","0","0","0","0","0","7","0","0","0","0"
"2013年02月08日19時35分","0","0","0","0","0","0","418","0","0","0","0"
"2013年02月08日19時40分","0","0","0","0","0","0","270","0","0","0","0"
"2013年02月08日19時45分","0","0","0","0","0","0","327","0","0","0","0"
"2013年02月08日19時50分","0","0","0","0","0","0","415","0","0","0","0"
"2013年02月08日19時55分","0","0","0","0","0","0","227","0","0","0","0"
"2013年02月08日20時00分","0","54","0","0","0","0","0","0","0","0","0"
